Player,T.RAB,TBF,T.4s,T.6s,T.50s,T.100s,Avg.Run,Avg.SR,RF.50s,RF.100s,T.Win,T.Loss,Unique.Opponents,Venues
AC Thomas,20,19,1,1,0,0,10.0,105.26315789473684,0.0,0.0,0,4,4,1
JEC Franklin,327,295,25,9,1,0,29.727272727272727,110.84745762711864,0.0625,0.0,10,6,7,1
Shakib Al Hasan,795,628,73,21,1,0,20.384615384615383,126.5923566878981,0.019230769230769232,0.0,26,26,13,1
DH Yagnik,170,130,23,2,0,0,18.88888888888889,130.76923076923077,0.0,0.0,4,13,8,1
S Randiv,2,4,0,0,0,0,2.0,50.0,0.0,0.0,0,1,1,1
BJ Haddin,18,11,2,1,0,0,18.0,163.63636363636365,0.0,0.0,0,1,1,1
NLTC Perera,424,301,23,26,0,0,19.272727272727273,140.86378737541528,0.0,0.0,11,19,11,1
NL McCullum,26,21,0,1,0,0,26.0,123.80952380952381,0.0,0.0,0,2,2,1
JE Taylor,3,3,0,0,0,0,0.0,100.0,0.0,0.0,0,2,1,1
J Syed Mohammad,29,26,4,0,0,0,14.5,111.53846153846155,0.0,0.0,2,3,4,1
RN ten Doeschate,326,229,26,15,0,0,23.285714285714285,142.35807860262008,0.0,0.0,13,8,8,1
TR Birt,75,57,9,2,0,0,15.0,131.57894736842107,0.0,0.0,2,3,4,1
AG Murtaza,10,14,1,0,0,0,10.0,71.42857142857143,0.0,0.0,0,3,3,1
Harpreet Singh,123,116,10,3,0,0,20.5,106.03448275862068,0.0,0.0,2,6,6,1
M Klinger,73,76,9,0,0,0,18.25,96.05263157894737,0.0,0.0,2,2,3,1
AC Blizzard,120,88,21,2,1,0,17.142857142857142,136.36363636363635,0.14285714285714285,0.0,3,4,6,1
I Malhotra,7,4,1,0,0,0,0.0,175.0,0.0,0.0,0,1,1,1
L Ablish,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1
CA Ingram,205,178,22,5,0,0,17.083333333333332,115.1685393258427,0.0,0.0,7,8,8,1
S Nadeem,39,85,2,0,0,0,2.7857142857142856,45.88235294117647,0.0,0.0,0,20,9,1
P Parameswaran,1,2,0,0,0,0,0.0,50.0,0.0,0.0,0,2,2,1
CJ Ferguson,98,116,9,0,0,0,16.333333333333332,84.48275862068965,0.0,0.0,4,4,5,1
VR Aaron,50,72,2,2,0,0,12.5,69.44444444444444,0.0,0.0,1,11,7,1
AA Chavan,12,11,2,0,0,0,12.0,109.09090909090908,0.0,0.0,0,3,3,1
ND Doshi,0,13,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1
B Kumar,306,317,30,3,0,0,9.5625,96.52996845425868,0.0,0.0,9,56,16,1
Y Gnaneswara Rao,19,17,3,0,0,0,19.0,111.76470588235294,0.0,0.0,0,1,1,1
S Rana,91,79,9,1,0,0,22.75,115.18987341772151,0.0,0.0,2,6,6,1
BA Bhatt,6,7,0,1,0,0,0.0,85.71428571428571,0.0,0.0,1,1,2,1
F du Plessis,4571,3307,422,166,29,0,38.411764705882355,138.2219534321137,0.21014492753623187,0.0,74,64,15,1
RE Levi,83,69,10,4,1,0,13.833333333333334,120.28985507246377,0.16666666666666666,0.0,4,2,5,1
GJ Maxwell,2772,1720,233,160,16,0,25.666666666666668,161.16279069767444,0.125,0.0,59,69,16,1
SPD Smith,2495,1920,226,60,6,1,35.642857142857146,129.94791666666669,0.06451612903225806,0.010752688172043012,41,52,12,1
MN Samuels,161,163,9,7,0,0,14.636363636363637,98.77300613496932,0.0,0.0,5,9,8,1
SA Yadav,3594,2440,385,130,20,0,32.972477064220186,147.2950819672131,0.14814814814814814,0.0,68,67,17,1
KK Cooper,116,67,9,8,0,0,12.88888888888889,173.13432835820893,0.0,0.0,5,7,6,1
JP Faulkner,527,384,36,23,0,0,20.26923076923077,137.23958333333331,0.0,0.0,21,24,11,1
HV Patel,249,200,16,15,0,0,10.375,124.50000000000001,0.0,0.0,11,26,13,1
DAJ Bracewell,12,9,1,0,0,0,0.0,133.33333333333331,0.0,0.0,0,1,1,1
DJ Harris,111,99,11,5,0,0,37.0,112.12121212121211,0.0,0.0,0,4,4,1
Ankit Sharma,87,67,7,4,0,0,12.428571428571429,129.8507462686567,0.0,0.0,0,10,6,1
SP Narine,1534,888,164,97,7,1,18.261904761904763,172.74774774774775,0.0660377358490566,0.009433962264150943,48,58,14,1
GB Hogg,22,22,1,0,0,0,11.0,100.0,0.0,0.0,1,3,4,1
RR Bhatkal,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1
CJ McKay,8,15,0,0,0,0,8.0,53.333333333333336,0.0,0.0,0,1,1,1
N Saini,140,139,16,0,1,0,14.0,100.71942446043165,0.1,0.0,6,4,6,1
DA Miller,2924,2050,207,134,5,0,37.0126582278481,142.6341463414634,0.04065040650406504,0.0,61,62,16,1
Azhar Mahmood,388,294,39,13,2,0,20.42105263157895,131.97278911564624,0.09523809523809523,0.0,11,10,9,1
P Negi,365,281,27,16,0,0,16.59090909090909,129.8932384341637,0.0,0.0,9,26,13,1
RJ Peterson,32,28,3,1,0,0,10.666666666666666,114.28571428571428,0.0,0.0,4,1,5,1
KMDN Kulasekara,5,2,1,0,0,0,0.0,250.0,0.0,0.0,0,1,1,1
A Ashish Reddy,280,191,16,15,0,0,18.666666666666668,146.59685863874344,0.0,0.0,10,13,8,1
V Pratap Singh,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1
BB Samantray,125,110,13,2,1,0,25.0,113.63636363636364,0.125,0.0,6,2,5,1
MJ Clarke,98,91,12,0,0,0,16.333333333333332,107.6923076923077,0.0,0.0,0,6,5,1
Gurkeerat Singh,511,411,55,11,2,0,21.291666666666668,124.33090024330899,0.0625,0.0,11,21,11,1
AP Majumdar,87,74,7,2,0,0,21.75,117.56756756756756,0.0,0.0,0,4,3,1
PA Reddy,164,160,15,2,0,0,16.4,102.49999999999999,0.0,0.0,6,4,6,1
K Upadhyay,12,9,0,1,0,0,0.0,133.33333333333331,0.0,0.0,0,2,2,1
P Awana,5,14,0,0,0,0,2.5,35.714285714285715,0.0,0.0,0,5,5,1
AD Russell,2488,1408,171,209,5,0,30.341463414634145,176.70454545454547,0.04807692307692308,0.0,46,58,14,1
A Chandila,4,7,0,0,0,0,0.0,57.14285714285714,0.0,0.0,0,2,2,1
CA Lynn,1329,934,132,66,8,0,34.973684210526315,142.2912205567452,0.19047619047619047,0.0,22,20,9,1
Sunny Gupta,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1
MC Juneja,125,125,11,1,0,0,17.857142857142858,100.0,0.0,0.0,1,6,7,1
KK Nair,1496,1150,161,39,7,0,24.524590163934427,130.08695652173913,0.10294117647058823,0.0,33,35,12,1
GH Vihari,284,318,23,1,0,0,14.947368421052632,89.30817610062893,0.0,0.0,11,12,8,1
MDKJ Perera,14,12,3,0,0,0,7.0,116.66666666666667,0.0,0.0,1,1,2,1
R Shukla,19,23,2,0,0,0,19.0,82.6086956521739,0.0,0.0,2,2,4,1
B Laughlin,5,13,0,0,0,0,2.5,38.46153846153847,0.0,0.0,0,4,3,1
AS Rajpoot,26,40,2,1,0,0,6.5,65.0,0.0,0.0,0,7,5,1
M Vohra,1083,816,104,43,3,0,23.04255319148936,132.72058823529412,0.058823529411764705,0.0,20,31,13,1
JD Unadkat,197,161,16,7,0,0,15.153846153846153,122.36024844720497,0.0,0.0,8,19,10,1
Mohammed Shami,74,77,6,2,0,0,5.6923076923076925,96.1038961038961,0.0,0.0,5,18,11,1
BMAJ Mendis,23,27,0,0,0,0,7.666666666666667,85.18518518518519,0.0,0.0,0,3,3,1
R Rampaul,51,48,3,2,0,0,10.2,106.25,0.0,0.0,1,6,6,1
CH Morris,618,394,41,35,0,0,22.071428571428573,156.85279187817258,0.0,0.0,15,34,14,1
SV Samson,4419,3141,352,206,18,2,31.79136690647482,140.68767908309457,0.1111111111111111,0.012345679012345678,81,81,16,1
SMSM Senanayake,10,17,0,0,0,0,10.0,58.82352941176471,0.0,0.0,1,3,3,1
BJ Rohrer,193,137,21,5,0,0,27.571428571428573,140.87591240875912,0.0,0.0,3,5,6,1
KL Rahul,4689,3439,400,187,26,0,45.52427184466019,136.34777551613843,0.21311475409836064,0.0,53,69,14,1
Q de Kock,3160,2315,316,123,19,1,31.91919191919192,136.50107991360693,0.17757009345794392,0.009345794392523364,62,45,15,1
R Dhawan,210,184,18,7,0,0,21.0,114.13043478260869,0.0,0.0,8,14,12,1
MG Johnson,167,157,10,7,0,0,12.846153846153847,106.36942675159236,0.0,0.0,12,16,8,1
LJ Wright,106,60,16,3,0,0,26.5,176.66666666666666,0.0,0.0,1,4,4,1
IC Pandey,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1
CM Gautam,169,141,17,6,0,0,18.77777777777778,119.8581560283688,0.0,0.0,3,10,8,1
X Thalaivan Sargunam,10,17,0,0,0,0,10.0,58.82352941176471,0.0,0.0,0,1,1,1
DJG Sammy,295,232,15,18,1,0,19.666666666666668,127.15517241379311,0.05,0.0,9,11,8,1
KW Richardson,36,39,2,1,0,0,12.0,92.3076923076923,0.0,0.0,0,4,3,1
MM Sharma,124,129,9,4,0,0,7.75,96.12403100775194,0.0,0.0,6,22,11,1
UA Birla,7,14,1,0,0,0,7.0,50.0,0.0,0.0,0,1,1,1
Parvez Rasool,17,19,1,0,0,0,8.5,89.47368421052632,0.0,0.0,0,4,4,1
Sandeep Sharma,54,68,4,0,0,0,10.8,79.41176470588235,0.0,0.0,5,20,11,1
S Kaul,20,36,1,0,0,0,6.666666666666667,55.55555555555556,0.0,0.0,3,6,6,1
Sachin Baby,144,117,11,5,0,0,16.0,123.07692307692308,0.0,0.0,3,8,7,1
PV Tambe,18,38,1,0,0,0,18.0,47.368421052631575,0.0,0.0,0,6,3,1
NM Coulter-Nile,82,71,7,4,0,0,8.2,115.49295774647888,0.0,0.0,5,11,10,1
CJ Anderson,538,418,40,31,1,0,24.454545454545453,128.70813397129186,0.034482758620689655,0.0,10,19,10,1
NJ Maddinson,20,21,4,0,0,0,6.666666666666667,95.23809523809523,0.0,0.0,2,1,3,1
AR Patel,1653,1244,107,79,3,0,22.33783783783784,132.87781350482314,0.026785714285714284,0.0,41,71,15,1
JJ Bumrah,68,77,5,1,0,0,11.333333333333334,88.31168831168831,0.0,0.0,4,22,13,1
JDS Neesham,92,92,6,2,0,0,11.5,100.0,0.0,0.0,5,5,8,1
TG Southee,120,107,8,4,0,0,10.909090909090908,112.14953271028037,0.0,0.0,5,14,12,1
MA Starc,105,104,11,0,0,0,13.125,100.96153846153845,0.0,0.0,5,11,7,1
BR Dunk,40,33,7,0,0,0,13.333333333333334,121.21212121212122,0.0,0.0,2,1,3,1
RR Rossouw,473,306,45,25,1,0,23.65,154.5751633986928,0.045454545454545456,0.0,7,15,10,1
Shivam Sharma,5,3,1,0,0,0,5.0,166.66666666666669,0.0,0.0,1,1,2,1
YS Chahal,37,84,0,0,0,0,6.166666666666667,44.047619047619044,0.0,0.0,0,17,9,1
LMP Simmons,1079,839,109,44,10,0,41.5,128.60548271752086,0.3448275862068966,0.0,19,10,9,1
VH Zol,29,26,3,1,0,0,14.5,111.53846153846155,0.0,0.0,0,2,2,1
BCJ Cutting,238,137,15,19,0,0,23.8,173.72262773722628,0.0,0.0,9,8,9,1
Imran Tahir,33,36,5,0,0,0,8.25,91.66666666666666,0.0,0.0,1,7,6,1
BE Hendricks,1,3,0,0,0,0,1.0,33.33333333333333,0.0,0.0,0,2,2,1
S Gopal,180,167,19,2,0,0,15.0,107.78443113772455,0.0,0.0,3,19,10,1
M de Lange,1,2,0,0,0,0,1.0,50.0,0.0,0.0,1,0,1,1
R Tewatia,1013,732,84,47,1,0,25.325,138.38797814207652,0.015384615384615385,0.0,26,39,12,1
JO Holder,259,208,13,18,0,0,12.333333333333334,124.51923076923077,0.0,0.0,9,18,12,1
Karanveer Singh,12,17,1,0,0,0,12.0,70.58823529411765,0.0,0.0,0,4,4,1
SS Iyer,3131,2426,272,113,14,0,32.27835051546392,129.06018136850784,0.12280701754385964,0.0,60,54,15,1
DJ Hooda,1466,1119,96,61,7,0,19.81081081081081,131.00983020554068,0.07291666666666667,0.0,45,51,14,1
Anureet Singh,36,43,2,1,0,0,9.0,83.72093023255815,0.0,0.0,0,8,6,1
KS Williamson,2132,1672,187,64,12,0,36.758620689655174,127.51196172248804,0.15789473684210525,0.0,38,38,14,1
SA Abbott,22,17,1,2,0,0,11.0,129.41176470588235,0.0,0.0,1,2,3,1
J Suchith,70,57,6,3,0,0,17.5,122.80701754385966,0.0,0.0,2,7,7,1
RG More,2,2,0,0,0,0,0.0,100.0,0.0,0.0,0,1,1,1
HH Pandya,2534,1716,189,137,4,0,29.46511627906977,147.66899766899766,0.03125,0.0,76,52,16,1
D Wiese,148,99,12,7,0,0,29.6,149.4949494949495,0.0,0.0,2,9,8,1
SN Khan,585,442,63,14,1,0,22.5,132.35294117647058,0.027777777777777776,0.0,13,23,13,1
MJ McClenaghan,85,68,5,7,0,0,7.7272727272727275,125.0,0.0,0.0,8,12,11,1
DJ Muthuswami,1,3,0,0,0,0,1.0,33.33333333333333,0.0,0.0,0,1,1,1
PJ Cummins,515,335,33,34,0,0,20.6,153.73134328358208,0.0,0.0,12,27,13,1
SN Thakur,307,219,27,13,1,0,13.347826086956522,140.18264840182647,0.02857142857142857,0.0,15,20,13,1
JC Buttler,3583,2384,356,161,14,4,38.94565217391305,150.29362416107384,0.1320754716981132,0.03773584905660377,53,53,15,1
CR Brathwaite,181,108,10,16,0,0,13.923076923076923,167.59259259259258,0.0,0.0,4,10,9,1
MP Stoinis,1866,1295,150,91,7,0,28.70769230769231,144.0926640926641,0.07954545454545454,0.0,43,45,13,1
Ishan Kishan,2644,1921,255,119,11,0,29.054945054945055,137.63664757938574,0.1111111111111111,0.0,47,52,15,1
C Munro,177,139,19,8,0,0,19.666666666666668,127.33812949640289,0.0,0.0,5,6,6,1
P Sahu,19,13,1,1,0,0,0.0,146.15384615384613,0.0,0.0,0,2,2,1
KH Pandya,1647,1210,144,61,1,0,23.197183098591548,136.11570247933884,0.009345794392523364,0.0,56,51,13,1
AD Nath,90,98,7,2,0,0,9.0,91.83673469387756,0.0,0.0,4,6,8,1
MJ Guptill,271,196,24,15,0,0,22.583333333333332,138.26530612244898,0.0,0.0,5,8,8,1
KJ Abbott,13,8,0,1,0,0,13.0,162.5,0.0,0.0,0,3,3,1
TM Head,772,439,76,40,3,1,38.6,175.85421412300684,0.12,0.04,13,12,15,1
M Ashwin,35,50,2,1,0,0,4.375,70.0,0.0,0.0,2,10,8,1
NS Naik,31,49,2,0,0,0,7.75,63.26530612244898,0.0,0.0,1,3,3,1
RR Pant,3297,2184,298,154,12,0,36.23076923076923,150.96153846153845,0.10909090909090909,0.0,55,55,13,1
SW Billings,503,378,40,20,3,0,19.346153846153847,133.06878306878306,0.1111111111111111,0.0,11,16,14,1
KC Cariappa,24,21,0,2,0,0,8.0,114.28571428571428,0.0,0.0,1,4,4,1
PSP Handscomb,6,12,0,0,0,0,6.0,50.0,0.0,0.0,0,1,1,1
Swapnil Singh,51,44,3,3,0,0,10.2,115.90909090909092,0.0,0.0,5,4,7,1
J Yadav,40,36,2,1,0,0,20.0,111.11111111111111,0.0,0.0,0,4,3,1
UT Khawaja,127,99,14,3,0,0,25.4,128.2828282828283,0.0,0.0,3,3,5,1
HM Amla,577,398,60,21,2,1,44.38461538461539,144.9748743718593,0.125,0.0625,7,9,8,1
F Behardien,14,13,2,0,0,0,7.0,107.6923076923077,0.0,0.0,0,3,2,1
BB Sran,10,13,0,0,0,0,10.0,76.92307692307693,0.0,0.0,2,5,4,1
A Zampa,15,24,1,0,0,0,3.0,62.5,0.0,0.0,1,4,5,1
N Rana,2636,1920,234,132,15,0,28.652173913043477,137.29166666666666,0.1485148514851485,0.0,50,51,14,1
S Kaushik,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1
ER Dwivedi,24,13,2,2,0,0,12.0,184.6153846153846,0.0,0.0,0,2,2,1
CJ Jordan,81,74,3,3,0,0,9.0,109.45945945945945,0.0,0.0,3,9,8,1
TS Mills,8,13,0,1,0,0,2.0,61.53846153846154,0.0,0.0,1,4,5,1
A Choudhary,25,20,1,1,0,0,25.0,125.0,0.0,0.0,0,3,3,1
BA Stokes,935,689,81,32,2,0,24.605263157894736,135.70391872278665,0.046511627906976744,0.0,20,23,12,1
JJ Roy,614,435,75,21,3,0,32.31578947368421,141.14942528735634,0.14285714285714285,0.0,7,14,9,1
Vishnu Vinod,56,56,3,3,0,0,9.333333333333334,100.0,0.0,0.0,3,3,4,1
Basil Thampi,32,33,1,1,0,0,32.0,96.96969696969697,0.0,0.0,2,5,6,1
CR Woakes,78,77,7,2,0,0,15.6,101.29870129870129,0.0,0.0,4,8,8,1
RA Tripathi,2236,1578,223,84,7,0,27.95,141.6983523447402,0.07526881720430108,0.0,41,52,13,1
DL Chahar,80,57,2,6,0,0,11.428571428571429,140.35087719298244,0.0,0.0,6,6,7,1
V Shankar,1115,843,80,45,1,0,25.930232558139537,132.26571767497035,0.017241379310344827,0.0,25,33,12,1
Rashid Khan,545,329,39,38,0,0,14.72972972972973,165.6534954407295,0.0,0.0,21,37,12,1
RD Chahar,129,124,13,5,0,0,8.6,104.03225806451613,0.0,0.0,6,16,10,1
LH Ferguson,68,45,6,2,0,0,22.666666666666668,151.11111111111111,0.0,0.0,1,6,6,1
C de Grandhomme,303,220,18,18,0,0,21.642857142857142,137.72727272727272,0.0,0.0,8,13,9,1
AF Milne,23,29,0,1,0,0,5.75,79.3103448275862,0.0,0.0,0,6,5,1
S Badree,13,23,0,0,0,0,2.6,56.52173913043478,0.0,0.0,0,5,4,1
Mohammad Nabi,221,146,18,12,0,0,13.8125,151.36986301369865,0.0,0.0,6,13,9,1
AJ Tye,91,71,6,5,0,0,11.375,128.16901408450704,0.0,0.0,3,10,9,1
K Rabada,206,189,16,8,0,0,13.733333333333333,108.994708994709,0.0,0.0,6,22,10,1
Kuldeep Yadav,183,212,16,3,0,0,20.333333333333332,86.32075471698113,0.0,0.0,6,26,12,1
Washington Sundar,378,318,32,9,0,0,14.538461538461538,118.86792452830188,0.0,0.0,11,27,11,1
DM Bravo,6,5,1,0,0,0,0.0,120.0,0.0,0.0,1,0,1,1
AR Bawne,12,12,1,0,0,0,0.0,100.0,0.0,0.0,0,1,1,1
SP Jackson,61,57,5,1,0,0,10.166666666666666,107.01754385964912,0.0,0.0,3,5,7,1
Ankit Soni,7,7,0,1,0,0,3.5,100.0,0.0,0.0,1,2,3,1
TA Boult,83,78,5,3,0,0,11.857142857142858,106.41025641025641,0.0,0.0,7,15,9,1
E Lewis,654,469,62,36,3,0,27.25,139.4456289978678,0.11538461538461539,0.0,13,13,11,1
MA Wood,12,8,1,1,0,0,6.0,150.0,0.0,0.0,2,1,3,1
RK Singh,893,618,67,46,1,0,30.79310344827586,144.49838187702267,0.025,0.0,19,21,10,1
DJM Short,115,98,11,5,0,0,16.428571428571427,117.34693877551021,0.0,0.0,3,4,6,1
K Gowtham,247,145,15,17,0,0,13.722222222222221,170.34482758620692,0.0,0.0,8,19,10,1
TK Curran,127,105,10,3,0,0,25.4,120.95238095238095,0.0,0.0,4,6,6,1
M Markande,48,38,5,1,0,0,16.0,126.3157894736842,0.0,0.0,2,8,8,1
B Stanlake,5,2,1,0,0,0,0.0,250.0,0.0,0.0,1,0,1,1
Mujeeb Ur Rahman,12,13,2,0,0,0,4.0,92.3076923076923,0.0,0.0,1,5,4,1
A Dananjaya,4,5,0,0,0,0,0.0,80.0,0.0,0.0,0,1,1,1
Shubman Gill,3216,2354,310,95,14,3,38.74698795180723,136.61852166525063,0.1414141414141414,0.030303030303030304,57,42,12,1
Shivam Mavi,51,55,4,2,0,0,5.666666666666667,92.72727272727272,0.0,0.0,1,10,8,1
Mohammed Siraj,109,116,10,4,0,0,12.11111111111111,93.96551724137932,0.0,0.0,3,17,8,1
H Klaasen,993,586,56,64,4,1,38.19230769230769,169.45392491467578,0.125,0.03125,14,18,10,1
RK Bhui,10,26,0,0,0,0,2.5,38.46153846153847,0.0,0.0,0,4,4,1
JC Archer,199,127,11,14,0,0,15.307692307692308,156.69291338582678,0.0,0.0,6,17,8,1
PP Shaw,1892,1270,238,61,13,0,24.894736842105264,148.9763779527559,0.16455696202531644,0.0,41,38,10,1
LE Plunkett,1,3,0,0,0,0,1.0,33.33333333333333,0.0,0.0,1,1,2,1
Mustafizur Rahman,13,23,0,1,0,0,13.0,56.52173913043478,0.0,0.0,0,6,5,1
AD Hales,148,117,13,6,0,0,24.666666666666668,126.49572649572649,0.0,0.0,4,2,4,1
MK Lomror,527,359,33,30,0,0,18.17241379310345,146.7966573816156,0.0,0.0,14,21,11,1
DR Shorey,13,17,0,1,0,0,6.5,76.47058823529412,0.0,0.0,1,1,2,1
MM Ali,1162,804,95,67,6,0,23.714285714285715,144.5273631840796,0.10526315789473684,0.0,24,33,12,1
M Prasidh Krishna,9,24,0,0,0,0,4.5,37.5,0.0,0.0,1,6,5,1
P Chopra,8,6,2,0,0,0,8.0,133.33333333333331,0.0,0.0,1,0,1,1
JPR Scantlebury-Searles,8,6,0,1,0,0,8.0,133.33333333333331,0.0,0.0,2,0,2,1
Abhishek Sharma,1377,875,128,73,6,0,25.5,157.37142857142857,0.09836065573770492,0.0,27,34,11,1
IS Sodhi,7,17,0,0,0,0,3.5,41.17647058823529,0.0,0.0,0,2,2,1
SO Hetmyer,1243,797,76,82,1,0,31.871794871794872,155.9598494353827,0.015384615384615385,0.0,34,31,12,1
S Dube,1502,1008,86,101,6,0,30.653061224489797,149.0079365079365,0.09836065573770492,0.0,24,37,12,1
Navdeep Saini,33,36,3,0,0,0,8.25,91.66666666666666,0.0,0.0,2,5,6,1
JM Bairstow,1589,1083,166,69,6,1,35.31111111111111,146.72206832871652,0.12,0.02,20,30,12,1
KMA Paul,18,22,1,1,0,0,4.5,81.81818181818183,0.0,0.0,3,2,3,1
Rasikh Salam,40,39,5,0,0,0,8.0,102.56410256410255,0.0,0.0,1,5,4,1
N Pooran,1769,1076,113,127,7,0,32.163636363636364,164.40520446096653,0.09722222222222222,0.0,32,40,11,1
P Ray Barman,19,24,2,0,0,0,19.0,79.16666666666666,0.0,0.0,0,1,1,1
SM Curran,883,641,74,37,3,0,25.228571428571428,137.7535101404056,0.0625,0.0,19,29,11,1
GC Viljoen,3,5,0,0,0,0,1.5,60.0,0.0,0.0,1,2,2,1
Avesh Khan,41,24,3,3,0,0,41.0,170.83333333333331,0.0,0.0,2,7,7,1
S Lamichhane,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1
HF Gurney,1,5,0,0,0,0,0.0,20.0,0.0,0.0,0,1,1,1
SD Lad,15,13,1,1,0,0,15.0,115.38461538461537,0.0,0.0,1,0,1,1
AS Joseph,27,31,3,0,0,0,27.0,87.09677419354838,0.0,0.0,3,2,5,1
R Parag,1173,858,84,60,3,0,26.066666666666666,136.71328671328672,0.05172413793103448,0.0,28,30,11,1
MJ Santner,70,69,4,3,0,0,11.666666666666666,101.44927536231884,0.0,0.0,4,7,6,1
JL Denly,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1
LS Livingstone,939,566,66,66,5,0,29.34375,165.90106007067138,0.1282051282051282,0.0,14,25,11,1
KK Ahmed,1,7,0,0,0,0,0.2,14.285714285714285,0.0,0.0,0,5,5,1
AJ Turner,24,27,0,2,0,0,4.8,88.88888888888889,0.0,0.0,3,3,5,1
Harpreet Brar,233,182,19,9,0,0,21.181818181818183,128.02197802197801,0.0,0.0,8,16,10,1
SE Rutherford,106,100,3,8,0,0,15.142857142857142,106.0,0.0,0.0,7,2,6,1
Y Prithvi Raj,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1
P Simran Singh,756,509,78,41,2,1,22.90909090909091,148.52652259332024,0.058823529411764705,0.029411764705882353,12,22,10,1
JL Pattinson,15,13,2,0,0,0,15.0,115.38461538461537,0.0,0.0,0,2,2,1
A Nortje,49,48,6,0,0,0,9.8,102.08333333333333,0.0,0.0,3,10,8,1
T Banton,18,20,1,1,0,0,9.0,90.0,0.0,0.0,0,2,1,1
D Padikkal,1559,1242,170,42,9,0,25.557377049180328,125.52334943639292,0.140625,0.0,35,29,12,1
YBK Jaiswal,1607,1050,199,64,8,1,32.795918367346935,153.04761904761907,0.15384615384615385,0.019230769230769232,27,25,10,1
RD Gaikwad,2380,1725,217,91,14,0,43.27272727272727,137.97101449275362,0.2153846153846154,0.0,34,31,11,1
TU Deshpande,21,13,2,1,0,0,21.0,161.53846153846155,0.0,0.0,2,2,4,1
Abdul Samad,579,391,37,36,0,0,19.3,148.08184143222508,0.0,0.0,11,28,11,1
PK Garg,273,238,16,9,0,0,15.166666666666666,114.70588235294117,0.0,0.0,7,12,10,1
JR Philippe,78,76,9,1,0,0,19.5,102.63157894736842,0.0,0.0,1,4,4,1
Kartik Tyagi,13,15,1,0,0,0,3.25,86.66666666666667,0.0,0.0,1,5,4,1
KL Nagarkoti,22,33,1,0,0,0,5.5,66.66666666666666,0.0,0.0,3,4,5,1
CV Varun,25,45,2,0,0,0,12.5,55.55555555555556,0.0,0.0,1,9,5,1
I Udana,15,11,1,1,0,0,5.0,136.36363636363635,0.0,0.0,0,4,3,1
Ravi Bishnoi,32,49,2,0,0,0,4.571428571428571,65.3061224489796,0.0,0.0,3,11,7,1
Shahbaz Ahmed,536,429,28,25,0,0,19.85185185185185,124.94172494172496,0.0,0.0,17,20,10,1
AT Carey,32,27,0,1,0,0,16.0,118.5185185185185,0.0,0.0,2,1,3,1
N Jagadeesan,162,146,21,2,0,0,18.0,110.95890410958904,0.0,0.0,2,8,6,1
T Natarajan,3,5,0,0,0,0,0.0,60.0,0.0,0.0,0,2,2,1
P Dubey,23,32,2,0,0,0,23.0,71.875,0.0,0.0,0,2,2,1
SS Cottrell,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1
Arshdeep Singh,29,39,4,0,0,0,5.8,74.35897435897436,0.0,0.0,0,11,6,1
DR Sams,44,44,1,3,0,0,4.888888888888889,100.0,0.0,0.0,5,8,9,1
M Jansen,66,62,5,2,0,0,9.428571428571429,106.4516129032258,0.0,0.0,2,10,7,1
RM Patidar,799,491,51,54,7,0,34.73913043478261,162.72912423625255,0.2916666666666667,0.0,12,12,9,1
KA Jamieson,65,51,5,3,0,0,21.666666666666668,127.45098039215685,0.0,0.0,4,3,5,1
M Shahrukh Khan,553,385,35,37,1,0,22.12,143.63636363636363,0.02702702702702703,0.0,16,21,11,1
JA Richardson,17,26,2,0,0,0,5.666666666666667,65.38461538461539,0.0,0.0,1,2,3,1
Lalit Yadav,305,282,27,7,0,0,20.333333333333332,108.15602836879432,0.0,0.0,8,13,9,1
Virat Singh,15,25,1,0,0,0,7.5,60.0,0.0,0.0,0,2,2,1
FA Allen,14,19,1,0,0,0,7.0,73.68421052631578,0.0,0.0,0,3,3,1
C Sakariya,20,30,3,0,0,0,4.0,66.66666666666666,0.0,0.0,1,6,6,1
DJ Malan,26,25,1,1,0,0,26.0,104.0,0.0,0.0,0,1,1,1
KS Bharat,199,160,12,8,0,0,28.428571428571427,124.37499999999999,0.0,0.0,4,4,6,1
PWH de Silva,72,73,7,1,0,0,7.2,98.63013698630137,0.0,0.0,4,10,7,1
VR Iyer,1326,950,121,61,8,1,31.571428571428573,139.57894736842104,0.16326530612244897,0.02040816326530612,28,21,10,1
GD Phillips,65,55,3,6,0,0,9.285714285714286,118.18181818181819,0.0,0.0,2,6,6,1
GHS Garton,2,4,0,0,0,0,2.0,50.0,0.0,0.0,1,1,2,1
