Bowler,Matches,Innings,Overs,RunsGiven,Wickets,Economy,StrikeRate,Average,5W,3W,MaidenOvers,DotBalls,Extras,UniqueOpponents,OpponentsList
LH Ferguson,45,46,161.2,1428,48,8.86,20.15,29.75,0,4,1,374,52,12,Chennai Super Kings|Delhi Capitals|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
S Nadeem,70,70,236.5,1784,48,7.54,29.56,37.17,0,1,2,469,31,12,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad
NM Coulter-Nile,38,38,144.3,1100,48,7.62,18.04,22.92,0,7,1,387,37,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
TG Southee,54,54,201.7,1742,47,8.64,25.74,37.06,0,4,2,475,60,17,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
SB Jakati,57,57,181.2,1451,47,8.01,23.13,30.87,0,2,1,355,29,12,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore
A Kumble,42,42,161.7,1058,45,6.54,21.56,23.51,1,5,1,397,31,7,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals
RJ Harris,37,37,138.8,1047,45,7.54,18.51,23.27,0,6,3,390,49,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore
S Aravind,38,38,126.8,1039,45,8.19,16.91,23.09,0,3,0,302,32,12,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Sunrisers Hyderabad
VR Aaron,50,50,167.0,1481,44,8.87,22.77,33.66,0,1,2,415,80,13,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
MP Stoinis,62,62,134.0,1274,43,9.51,18.7,29.63,0,4,0,238,34,14,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
TU Deshpande,36,36,130.0,1242,42,9.55,18.57,29.57,0,4,0,303,58,12,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
MC Henriques,60,60,158.5,1289,42,8.13,22.64,30.69,0,2,0,315,33,13,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
YK Pathan,82,82,191.2,1415,42,7.4,27.31,33.69,0,3,1,419,43,12,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
AJ Tye,30,30,114.5,978,42,8.54,16.36,23.29,1,5,0,225,29,10,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad
Iqbal Abdulla,48,48,153.3,1109,40,7.23,23.0,27.73,0,4,1,346,26,13,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
R Sharma,44,44,154.7,1086,40,7.02,23.2,27.15,0,1,1,344,7,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
S Sreesanth,44,44,150.5,1194,40,7.93,22.57,29.85,0,1,4,416,82,9,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore
P Awana,33,33,125.2,1029,39,8.22,19.26,26.38,0,4,2,307,29,9,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
PJ Sangwan,42,42,143.7,1240,38,8.63,22.68,32.63,0,3,1,338,58,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad
DT Christian,49,49,147.7,1192,38,8.07,23.32,31.37,0,0,0,316,40,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
MS Gony,44,44,148.8,1287,37,8.65,24.14,34.78,0,2,3,366,37,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
Washington Sundar,58,58,176.0,1325,37,7.53,28.54,35.81,0,3,1,366,16,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
GJ Maxwell,79,79,157.3,1303,37,8.28,25.51,35.22,0,0,1,309,28,16,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
DE Bollinger,27,27,96.3,693,37,7.19,15.62,18.73,0,4,3,270,30,9,Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore
MR Marsh,34,34,93.8,795,37,8.47,15.22,21.49,0,3,1,189,33,12,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
M Markande,37,37,120.2,1069,37,8.9,19.49,28.89,0,3,0,218,18,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
Yuvraj Singh,73,73,145.0,1077,36,7.43,24.17,29.92,0,4,0,269,13,12,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
PWH de Silva,26,26,92.0,748,35,8.13,15.77,21.37,1,2,1,209,7,9,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Sunrisers Hyderabad
WD Parnell,33,33,121.5,937,35,7.71,20.83,26.77,0,4,1,312,56,14,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
MM Ali,52,52,126.5,893,35,7.06,21.69,25.51,0,3,0,273,12,12,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
JR Hazlewood,27,27,100.8,810,35,8.03,17.29,23.14,0,4,1,270,19,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
M Ashwin,44,44,145.5,1162,35,7.99,24.94,33.2,0,2,0,298,31,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
M Pathirana,20,20,75.3,592,34,7.86,13.29,17.41,0,4,0,178,68,9,Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
P Negi,42,42,119.3,939,34,7.87,21.06,27.62,0,2,0,249,17,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
KK Cooper,25,25,96.2,757,33,7.87,17.48,22.94,0,5,1,209,32,8,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Royal Challengers Bangalore|Sunrisers Hyderabad
R Tewatia,52,52,140.8,1111,32,7.89,26.41,34.72,0,4,0,270,23,11,Chennai Super Kings|Delhi Capitals|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad
NLTC Perera,36,36,116.8,1016,31,8.7,22.61,32.77,0,3,0,238,18,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
M Kartik,55,55,192.3,1388,31,7.22,37.23,44.77,0,1,1,405,47,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
CR Woakes,21,21,73.5,658,30,8.95,14.7,21.93,0,3,0,173,23,11,Chennai Super Kings|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad
CJ Jordan,34,35,113.2,1081,30,9.55,22.63,36.03,0,3,1,225,48,14,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
Shivam Mavi,32,32,109.2,942,30,8.63,21.83,31.4,0,1,2,267,39,11,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
Umran Malik,26,26,82.8,771,29,9.31,17.14,26.59,1,4,1,218,39,9,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore
Azhar Mahmood,23,23,90.3,700,29,7.75,18.69,24.14,0,4,0,206,19,9,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
AB Agarkar,42,42,130.7,1151,29,8.81,27.03,39.69,0,1,0,273,39,9,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
A Zampa,20,20,69.8,558,29,7.99,14.45,19.24,1,3,0,133,11,10,Chennai Super Kings|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
A Singh,23,23,79.0,620,28,7.85,16.93,22.14,0,3,1,200,17,9,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Royal Challengers Bangalore
DP Nannes,29,29,108.3,785,28,7.25,23.21,28.04,0,2,1,306,51,9,Chennai Super Kings|Deccan Chargers|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore
DL Vettori,34,34,129.5,879,28,6.79,27.75,31.39,0,2,0,283,8,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore
PV Tambe,33,33,110.0,853,28,7.75,23.57,30.46,0,2,0,215,19,8,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
Yash Dayal,28,28,97.2,919,28,9.46,20.82,32.82,0,2,0,223,41,9,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
BA Stokes,38,38,115.5,992,28,8.59,24.75,35.43,0,3,2,250,36,11,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Royal Challengers Bangalore|Sunrisers Hyderabad
AD Mathews,44,44,132.0,1079,27,8.17,29.33,39.96,0,2,0,237,25,9,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
MF Maharoof,20,20,70.8,520,27,7.34,15.74,19.26,0,1,0,177,26,6,Deccan Chargers|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore
Harmeet Singh,28,28,92.2,731,27,7.93,20.48,27.07,0,2,0,213,33,8,Chennai Super Kings|Delhi Daredevils|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
Mohsin Khan,23,23,81.0,689,27,8.51,18.0,25.52,0,3,2,212,26,8,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore
DR Smith,46,46,90.5,810,26,8.95,20.88,31.15,0,2,0,179,23,9,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad
R Dhawan,36,36,110.8,891,25,8.04,26.6,35.64,0,0,1,218,40,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
Harpreet Brar,39,39,113.2,895,25,7.91,27.16,35.8,0,3,1,239,20,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
SK Raina,69,69,151.3,1118,25,7.39,36.32,44.72,0,0,0,299,22,11,Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad
J Botha,34,34,115.7,800,25,6.92,27.76,32.0,0,1,0,268,19,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
Naveen-ul-Haq,17,17,65.3,590,25,9.03,15.68,23.6,0,4,0,141,19,9,Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
B Lee,38,38,148.0,1095,25,7.4,35.52,43.8,0,1,3,400,53,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore
Harshit Rana,19,19,64.5,581,25,9.01,15.48,23.24,0,2,1,157,18,9,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bengaluru|Sunrisers Hyderabad
L Ngidi,14,14,54.3,448,25,8.25,13.04,17.92,0,4,2,139,18,7,Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
M Theekshana,27,27,104.0,797,25,7.66,24.96,31.88,0,2,1,201,8,10,Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
AS Rajpoot,29,29,89.8,813,24,9.05,22.46,33.88,1,2,1,214,41,10,Chennai Super Kings|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
Mukesh Kumar,20,20,67.2,694,24,10.33,16.79,28.92,0,3,0,137,21,10,Chennai Super Kings|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
Noor Ahmad,23,23,82.2,659,24,8.02,20.54,27.46,0,1,0,178,22,10,Chennai Super Kings|Delhi Capitals|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
Navdeep Saini,31,32,110.2,946,24,8.59,27.54,39.42,0,1,1,284,35,9,Chennai Super Kings|Delhi Capitals|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
Yash Thakur,19,19,67.8,691,24,10.19,16.96,28.79,1,3,1,138,28,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad
SW Tait,21,21,80.3,640,23,7.97,20.96,27.83,0,4,1,222,83,9,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Royal Challengers Bangalore
JP Duminy,49,49,113.0,834,23,7.38,29.48,36.26,0,1,0,242,32,11,Chennai Super Kings|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
GB Hogg,21,21,76.5,570,23,7.45,19.96,24.78,0,2,1,170,18,9,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Royal Challengers Bangalore|Sunrisers Hyderabad
Basil Thampi,25,25,87.0,846,22,9.72,23.73,38.45,0,2,1,163,18,10,Delhi Capitals|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad
BW Hilfenhaus,17,17,62.5,479,22,7.66,17.05,21.77,0,1,2,184,18,7,Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Sunrisers Hyderabad
Sohail Tanvir,11,11,41.3,266,22,6.44,11.27,12.09,1,5,0,130,20,6,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kolkata Knight Riders|Mumbai Indians|Royal Challengers Bangalore
STR Binny,63,63,99.2,758,22,7.64,27.05,34.45,0,0,0,204,17,13,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
Shahbaz Ahmed,42,42,89.8,837,21,9.32,25.67,39.86,0,2,0,149,12,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bengaluru|Sunrisers Hyderabad
K Gowtham,35,35,98.0,808,21,8.24,28.0,38.48,0,0,1,216,11,10,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
AS Joseph,22,22,72.5,691,21,9.53,20.71,32.9,1,1,1,172,22,10,Chennai Super Kings|Delhi Capitals|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
VY Mahesh,17,17,57.7,499,21,8.65,16.48,23.76,0,2,0,127,21,8,Chennai Super Kings|Deccan Chargers|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore
RE van der Merwe,21,21,73.8,498,21,6.74,21.1,23.71,0,1,1,159,12,8,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals
A Symonds,30,30,88.0,674,20,7.66,26.4,33.7,0,1,0,206,18,8,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore
M Jansen,21,21,76.3,714,20,9.35,22.9,35.7,0,1,1,187,49,8,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore
C Sakariya,19,19,71.8,599,20,8.34,21.55,29.95,0,2,1,151,36,9,Chennai Super Kings|Delhi Capitals|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
KW Richardson,15,15,55.8,472,19,8.45,17.63,24.84,0,1,0,136,14,10,Chennai Super Kings|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad
RP Meredith,18,18,65.0,612,19,9.42,20.53,32.21,0,0,0,156,40,8,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
VG Arora,20,20,65.5,585,19,8.93,20.68,30.79,0,1,0,152,35,9,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
JP Behrendorff,17,17,61.0,552,19,9.05,19.26,29.05,0,2,0,146,17,9,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Lucknow Super Giants|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
Mujeeb Ur Rahman,19,19,72.3,592,19,8.18,22.84,31.16,0,1,0,152,28,8,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad
AD Mascarenhas,13,13,51.3,356,19,6.94,16.21,18.74,1,2,1,130,3,8,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Royal Challengers Bangalore|Sunrisers Hyderabad
