Player,TotalRuns,BallsFaced,StrikeRate,Fours,Sixes,Matches,Innings,Fifties,Hundreds,AverageRun,RF_50s,RF_100s,UniqueOpponents,OpponentsList,Dismissals,DuckOuts,DuckOutPercentage,MostCommonPosition,AveragePosition,PositionConsistency,PositionRange,OpeningInnings,TopOrderInnings
YBK Jaiswal,1595,1045,152.63,198,63,52,52,9,2,32.55,0.173,0.038,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,49,3,5.77,1,1.23,76.92,1-2,40,52
JM Bairstow,1587,1079,147.08,166,69,50,50,7,3,35.27,0.14,0.06,12,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,45,2,4.0,2,2.16,64.0,1-5,7,47
D Padikkal,1555,1238,125.61,170,42,64,64,9,1,25.49,0.141,0.016,12,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,61,5,7.81,2,2.55,45.31,1-6,10,48
DJ Bravo,1546,1169,132.25,119,65,110,110,9,0,22.74,0.082,0.0,14,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,68,2,1.82,6,5.95,28.18,1-9,1,5
NV Ojha,1543,1290,119.61,120,78,94,94,5,1,21.43,0.053,0.011,14,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,72,5,5.32,6,4.18,20.21,1-8,9,39
SP Narine,1532,887,172.72,164,97,106,106,7,1,18.24,0.066,0.009,14,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,84,13,12.26,2,4.52,33.02,1-11,15,54
S Dube,1499,1006,149.01,86,101,61,61,9,2,30.59,0.148,0.033,12,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,49,2,3.28,4,4.69,32.79,3-7,0,8
KK Nair,1491,1148,129.88,160,39,68,68,10,0,24.44,0.147,0.0,12,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,61,3,4.41,4,3.47,32.35,1-6,1,36
SS Tiwary,1489,1220,122.05,111,50,73,73,9,1,30.39,0.123,0.014,14,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,49,0,0.0,4,4.78,27.4,1-8,2,14
DJ Hooda,1455,1114,130.61,94,61,96,97,7,1,19.66,0.073,0.01,14,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,74,4,4.12,5,4.8,31.96,1-7,1,17
S Badrinath,1438,1181,121.76,154,28,65,65,10,1,31.26,0.154,0.015,9,Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore,46,5,7.69,4,4.78,38.46,1-8,2,10
EJG Morgan,1406,1113,126.33,112,64,74,75,6,1,23.83,0.081,0.014,15,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,59,3,4.0,5,4.53,34.67,1-7,3,9
BJ Hodge,1399,1099,127.3,122,43,63,63,6,0,34.12,0.095,0.0,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,41,3,4.76,5,4.4,30.16,1-8,2,15
Abhishek Sharma,1369,871,157.18,128,72,61,61,5,1,25.35,0.082,0.016,11,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru,54,2,3.28,1,3.03,32.79,1-8,20,40
SC Ganguly,1343,1230,109.19,137,41,56,56,5,1,25.83,0.089,0.018,8,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore,52,3,5.36,2,2.52,33.93,1-7,11,46
VR Iyer,1320,949,139.09,121,60,49,49,10,1,31.43,0.204,0.02,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,42,2,4.08,2,3.02,38.78,1-9,5,37
CA Lynn,1317,930,141.61,131,65,42,42,9,1,34.66,0.214,0.024,9,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,38,3,7.14,1,1.81,50.0,1-6,21,38
DJ Hussey,1316,1050,125.33,89,60,61,61,6,0,28.61,0.098,0.0,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,46,2,3.28,4,4.44,57.38,3-6,0,2
SO Hetmyer,1241,792,156.69,76,82,65,65,5,2,31.82,0.077,0.031,12,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,39,1,1.54,5,5.37,38.46,2-7,0,2
KM Jadhav,1191,953,124.97,100,40,81,81,5,1,23.35,0.062,0.012,14,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad,51,3,3.7,5,5.42,35.8,4-8,0,0
R Parag,1173,855,137.19,84,60,58,58,6,1,26.07,0.103,0.017,11,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,45,4,6.9,6,5.41,44.83,4-7,0,0
MM Ali,1160,801,144.82,95,67,57,57,8,0,23.67,0.14,0.0,12,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,49,5,8.77,3,4.18,33.33,2-8,0,22
Tilak Varma,1154,774,149.1,90,58,38,38,8,1,41.21,0.211,0.026,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,28,0,0.0,4,4.5,44.74,3-6,0,2
IK Pathan,1149,915,125.57,88,38,82,83,3,0,23.45,0.037,0.0,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,49,2,2.41,6,5.83,32.53,2-8,0,9
TM Dilshan,1138,971,117.2,137,24,50,50,11,0,28.45,0.22,0.0,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,40,6,12.0,2,2.8,34.0,1-6,7,35
V Shankar,1110,841,131.99,79,45,58,58,5,2,25.81,0.086,0.034,12,Chennai Super Kings|Delhi Capitals|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,43,2,3.45,5,4.72,34.48,2-8,0,10
ML Hayden,1096,775,141.42,119,44,32,33,5,2,39.14,0.156,0.062,7,Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore,28,2,6.06,2,2.12,87.88,2-3,0,33
M Vohra,1083,815,132.88,104,43,51,51,4,1,23.04,0.078,0.02,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,47,3,5.88,2,2.47,52.94,1-8,6,46
LMP Simmons,1079,835,129.22,109,44,29,29,11,1,41.5,0.379,0.034,9,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,26,2,6.9,1,1.1,89.66,1-2,26,29
B Sai Sudharsan,1018,727,140.03,94,31,25,25,5,2,48.48,0.2,0.08,10,Chennai Super Kings|Delhi Capitals|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,21,0,0.0,3,2.8,68.0,1-4,3,22
R Tewatia,1011,728,138.87,84,47,65,65,6,0,25.27,0.092,0.0,12,Chennai Super Kings|Delhi Capitals|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,40,1,1.54,7,6.43,43.08,4-8,0,0
LRPL Taylor,1010,794,127.2,66,45,54,54,3,2,26.58,0.056,0.037,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,38,3,5.56,5,4.57,35.19,2-7,0,8
KP Pietersen,1000,724,138.12,91,40,36,36,6,1,37.04,0.167,0.028,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,27,4,11.11,3,2.97,63.89,1-5,2,30
MC Henriques,996,772,129.02,86,28,54,54,4,2,27.67,0.074,0.037,13,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,36,2,3.7,5,4.5,31.48,3-7,0,16
AK Markram,995,762,130.58,73,35,42,42,4,1,30.15,0.095,0.024,11,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,33,2,4.76,4,3.98,64.29,3-5,0,8
H Klaasen,987,580,170.17,56,64,32,32,6,2,37.96,0.188,0.062,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru,26,1,3.12,5,4.97,43.75,2-7,0,3
Y Venugopal Rao,980,812,120.69,76,37,52,52,3,1,23.33,0.058,0.019,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore,42,1,1.92,6,5.29,32.69,2-8,0,7
A Symonds,973,734,132.56,74,41,36,36,3,2,40.54,0.083,0.056,9,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore,24,0,0.0,4,4.67,50.0,4-7,0,0
JA Morkel,967,668,144.76,61,54,67,68,6,0,25.45,0.09,0.0,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore,38,2,2.94,5,5.88,33.82,1-8,1,2
CL White,962,749,128.44,74,38,45,46,6,0,28.29,0.133,0.0,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore,34,2,4.35,4,4.17,45.65,2-7,0,10
BA Stokes,934,686,136.15,81,32,43,43,4,1,24.58,0.093,0.023,12,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Royal Challengers Bangalore|Sunrisers Hyderabad,38,4,9.3,4,3.91,32.56,1-6,4,12
LS Livingstone,923,559,165.12,64,65,39,39,9,0,28.84,0.231,0.0,11,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,32,1,2.56,4,4.18,58.97,1-7,1,5
DP Conway,923,635,145.35,100,30,22,22,6,2,48.58,0.273,0.091,9,Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,19,2,9.09,2,1.95,86.36,1-3,2,22
HH Gibbs,886,781,113.44,83,31,36,36,8,0,28.58,0.222,0.0,7,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore,31,3,8.33,2,2.08,52.78,1-3,7,36
STR Binny,879,670,131.19,66,35,66,66,2,1,20.44,0.03,0.015,12,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad,43,5,7.58,5,5.7,30.3,4-9,0,0
RK Singh,879,612,143.63,67,44,40,40,3,1,30.31,0.075,0.025,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,29,0,0.0,6,5.88,45.0,3-8,0,1
SM Curran,874,637,137.21,72,37,48,48,3,1,24.97,0.062,0.021,11,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,35,4,8.33,6,5.25,33.33,1-8,5,6
Harbhajan Singh,824,584,141.1,77,42,88,88,4,0,16.16,0.045,0.0,13,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,51,10,11.36,8,7.39,40.91,3-10,0,4
R Ashwin,799,660,121.06,61,28,89,89,1,0,14.02,0.011,0.0,14,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,57,7,7.87,8,7.18,40.45,2-10,0,6
RM Patidar,798,490,162.86,51,54,24,24,6,1,34.7,0.25,0.042,9,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Sunrisers Hyderabad,23,1,4.17,3,3.5,41.67,2-5,0,12
MS Bisla,794,676,117.46,92,23,39,39,2,1,22.06,0.051,0.026,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,36,3,7.69,1,1.82,51.28,1-7,20,38
Shakib Al Hasan,788,624,126.28,72,21,52,53,3,1,20.21,0.058,0.019,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,39,3,5.66,5,5.49,39.62,3-8,0,2
TM Head,767,436,175.92,75,40,25,25,3,2,38.35,0.12,0.08,15,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bengaluru|Sunrisers Hyderabad,20,2,8.0,1,2.44,40.0,1-6,10,19
ST Jayasuriya,760,514,147.86,84,38,30,30,4,1,27.14,0.133,0.033,7,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Rajasthan Royals|Royal Challengers Bangalore,28,2,6.67,1,1.37,73.33,1-5,22,29
P Simran Singh,750,508,147.64,78,40,34,34,3,1,22.73,0.088,0.029,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,33,3,8.82,1,1.97,50.0,1-7,17,32
GC Smith,731,652,112.12,92,9,29,29,4,0,28.12,0.138,0.0,8,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Royal Challengers Bangalore,26,3,10.34,1,1.41,58.62,1-2,17,29
JM Sharma,723,476,151.89,53,44,36,36,1,0,22.59,0.028,0.0,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,32,2,5.56,5,5.44,41.67,4-7,0,0
AD Mathews,722,566,127.56,44,29,41,41,2,1,25.79,0.049,0.024,9,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,28,3,7.32,6,5.61,51.22,4-8,0,0
C Green,699,452,154.65,62,31,28,28,3,1,41.12,0.107,0.036,9,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,17,0,0.0,3,4.14,42.86,1-7,1,14
TL Suman,676,562,120.28,55,26,39,39,2,1,22.53,0.051,0.026,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,30,2,5.13,3,3.92,35.9,1-7,5,21
MR Marsh,665,511,130.14,48,38,36,36,3,0,21.45,0.083,0.0,13,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,31,5,13.89,3,4.31,33.33,2-10,0,20
AM Nayar,664,551,120.51,54,20,50,50,1,0,18.44,0.02,0.0,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,36,2,4.0,6,5.22,34.0,1-8,3,8
GJ Bailey,660,530,124.53,59,19,36,36,3,0,25.38,0.083,0.0,8,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,26,1,2.78,5,4.75,30.56,1-7,1,9
E Lewis,654,469,139.45,62,36,26,26,4,0,27.25,0.154,0.0,11,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,24,2,7.69,2,2.35,50.0,1-6,5,22
PD Salt,652,360,181.11,74,34,21,21,5,0,34.32,0.238,0.0,11,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,19,3,14.29,1,1.71,61.9,1-4,13,19
TH David,652,379,172.03,38,45,35,35,6,0,29.64,0.171,0.0,9,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,22,2,5.71,6,6.09,42.86,5-8,0,0
A Badoni,633,465,136.13,46,24,35,35,5,0,25.32,0.143,0.0,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,25,2,5.71,6,5.71,48.57,3-8,0,4
PP Chawla,623,542,114.94,56,20,86,86,0,0,11.75,0.0,0.0,14,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,53,6,6.98,8,8.01,48.84,3-10,0,1
JJ Roy,614,433,141.8,75,21,21,21,3,1,32.32,0.143,0.048,9,Chennai Super Kings|Delhi Capitals|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,19,0,0.0,1,1.57,76.19,1-6,16,19
CH Morris,612,393,155.73,41,34,49,49,6,0,21.86,0.122,0.0,14,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,28,7,14.29,8,7.2,36.73,3-9,0,1
JD Ryder,596,444,134.23,67,19,29,29,4,0,22.07,0.138,0.0,9,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore,27,4,13.79,1,1.34,68.97,1-3,20,29
SN Khan,578,438,131.96,62,14,36,36,2,0,22.23,0.056,0.0,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,26,2,5.56,6,5.11,33.33,3-7,0,4
HM Amla,575,397,144.84,60,21,16,16,2,2,44.23,0.125,0.125,8,Delhi Daredevils|Gujarat Lions|Kolkata Knight Riders|Mumbai Indians|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,13,2,12.5,1,1.56,50.0,1-3,8,16
Abdul Samad,574,388,147.94,36,36,39,40,3,0,19.13,0.077,0.0,11,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru,30,2,5.0,7,6.35,57.5,2-8,0,1
M Shahrukh Khan,553,385,143.64,35,37,37,37,3,0,22.12,0.081,0.0,11,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,25,2,5.41,6,6.24,43.24,3-8,0,1
