Player,TotalRuns,BallsFaced,StrikeRate,Fours,Sixes,Matches,Innings,Fifties,Hundreds,AverageRun,RF_50s,RF_100s,UniqueOpponents,OpponentsList,Dismissals,DuckOuts,DuckOutPercentage,MostCommonPosition,AveragePosition,PositionConsistency,PositionRange,OpeningInnings,TopOrderInnings
YBK Jaiswal,1607,1050,153.05,199,64,52,52,9,2,32.8,0.173,0.038,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,49,4,8.16,1,1.23,76.92,1-2,40,52
JM Bairstow,1589,1083,146.72,166,69,50,50,9,2,35.31,0.18,0.04,12,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,45,3,6.67,2,2.16,64.0,1-5,7,47
DJ Bravo,1560,1177,132.54,120,66,110,110,5,0,22.94,0.045,0.0,14,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,68,5,7.35,6,5.95,28.18,1-9,1,5
D Padikkal,1559,1242,125.52,170,42,64,64,9,1,25.56,0.141,0.016,12,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,61,5,8.2,2,2.55,45.31,1-6,10,48
NV Ojha,1554,1295,120.0,121,79,94,94,6,0,21.58,0.064,0.0,14,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,72,8,11.11,6,4.18,20.21,1-8,9,39
SP Narine,1534,888,172.75,164,97,106,106,7,1,18.26,0.066,0.009,14,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,84,14,16.67,2,4.52,33.02,1-11,15,54
S Dube,1502,1008,149.01,86,101,61,61,9,0,30.65,0.148,0.0,12,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,49,3,6.12,4,4.69,32.79,3-7,0,8
KK Nair,1496,1150,130.09,161,39,68,68,10,0,24.52,0.147,0.0,12,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,61,3,4.92,4,3.47,32.35,1-6,1,36
SS Tiwary,1494,1229,121.56,111,50,73,73,8,0,30.49,0.11,0.0,14,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,49,1,2.04,4,4.78,27.4,1-8,2,14
DJ Hooda,1466,1119,131.01,96,61,96,97,8,0,19.81,0.083,0.0,14,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,74,4,5.41,5,4.8,31.96,1-7,1,17
S Badrinath,1441,1185,121.6,154,28,65,65,11,0,31.33,0.169,0.0,9,Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore,46,6,13.04,4,4.78,38.46,1-8,2,10
EJG Morgan,1406,1114,126.21,112,64,74,75,5,0,23.83,0.068,0.0,15,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,59,5,8.47,5,4.53,34.67,1-7,3,9
BJ Hodge,1400,1105,126.7,122,43,63,63,6,0,34.15,0.095,0.0,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,41,3,7.32,5,4.4,30.16,1-8,2,15
Abhishek Sharma,1377,875,157.37,128,73,61,61,7,0,25.5,0.115,0.0,11,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru,54,2,3.7,1,3.03,32.79,1-8,20,40
SC Ganguly,1349,1236,109.14,137,42,56,56,7,0,25.94,0.125,0.0,8,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore,52,4,7.69,2,2.52,33.93,1-7,11,46
CA Lynn,1329,934,142.29,132,66,42,42,10,0,34.97,0.238,0.0,9,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,38,3,7.89,1,1.81,50.0,1-6,21,38
VR Iyer,1326,950,139.58,121,61,49,49,10,1,31.57,0.204,0.02,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,42,2,4.76,2,3.02,38.78,1-9,5,37
DJ Hussey,1322,1055,125.31,90,60,61,61,5,0,28.74,0.082,0.0,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,46,4,8.7,4,4.44,57.38,3-6,0,2
SO Hetmyer,1243,797,155.96,76,82,65,65,4,0,31.87,0.062,0.0,12,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,39,2,5.13,5,5.37,38.46,2-7,0,2
KM Jadhav,1208,965,125.18,102,40,81,81,4,0,23.69,0.049,0.0,14,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad,51,6,11.76,5,5.42,35.8,4-8,0,0
R Parag,1173,858,136.71,84,60,58,58,6,0,26.07,0.103,0.0,11,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,45,3,6.67,6,5.41,44.83,4-7,0,0
MM Ali,1162,804,144.53,95,67,57,57,6,0,23.71,0.105,0.0,12,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,49,5,10.2,3,4.18,33.33,2-8,0,22
Tilak Varma,1156,777,148.78,90,58,38,38,6,0,41.29,0.158,0.0,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,28,1,3.57,4,4.5,44.74,3-6,0,2
TM Dilshan,1153,977,118.01,140,24,50,50,9,0,28.82,0.18,0.0,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,40,6,15.0,2,2.8,34.0,1-6,7,35
IK Pathan,1150,918,125.27,88,38,82,83,1,0,23.47,0.012,0.0,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,49,3,6.12,6,5.83,32.53,2-8,0,9
V Shankar,1115,843,132.27,80,45,58,58,6,0,25.93,0.103,0.0,12,Chennai Super Kings|Delhi Capitals|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,43,2,4.65,5,4.72,34.48,2-8,0,10
ML Hayden,1107,782,141.56,121,44,32,33,8,0,39.54,0.25,0.0,7,Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore,28,2,7.14,2,2.12,87.88,2-3,0,33
M Vohra,1083,816,132.72,104,43,51,51,3,0,23.04,0.059,0.0,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,47,3,6.38,2,2.47,52.94,1-8,6,46
LMP Simmons,1079,839,128.61,109,44,29,29,11,1,41.5,0.379,0.034,9,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,26,2,7.69,1,1.1,89.66,1-2,26,29
B Sai Sudharsan,1034,735,140.68,95,32,25,25,6,1,49.24,0.24,0.04,10,Chennai Super Kings|Delhi Capitals|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,21,0,0.0,3,2.8,68.0,1-4,3,22
LRPL Taylor,1017,798,127.44,66,46,54,54,3,0,26.76,0.056,0.0,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,38,3,7.89,5,4.57,35.19,2-7,0,8
R Tewatia,1013,732,138.39,84,47,65,65,1,0,25.32,0.015,0.0,12,Chennai Super Kings|Delhi Capitals|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,40,0,0.0,7,6.43,43.08,4-8,0,0
KP Pietersen,1001,725,138.07,91,40,36,36,4,1,37.07,0.111,0.028,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,27,4,14.81,3,2.97,63.89,1-5,2,30
MC Henriques,1000,775,129.03,87,28,54,54,5,0,27.78,0.093,0.0,13,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,36,2,5.56,5,4.5,31.48,3-7,0,16
AK Markram,995,765,130.07,73,35,42,42,5,0,30.15,0.119,0.0,11,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,33,2,6.06,4,3.98,64.29,3-5,0,8
H Klaasen,993,586,169.45,56,64,32,32,6,1,38.19,0.188,0.031,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru,26,1,3.85,5,4.97,43.75,2-7,0,3
Y Venugopal Rao,985,816,120.71,77,37,52,52,3,0,23.45,0.058,0.0,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore,42,2,4.76,6,5.29,32.69,2-8,0,7
JA Morkel,975,672,145.09,61,55,67,68,3,0,25.66,0.045,0.0,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore,38,3,7.89,5,5.88,33.82,1-8,1,2
A Symonds,974,739,131.8,74,41,36,36,5,1,40.58,0.139,0.028,9,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore,24,0,0.0,4,4.67,50.0,4-7,0,0
CL White,971,752,129.12,76,38,45,46,6,0,28.56,0.133,0.0,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore,34,4,11.76,4,4.17,45.65,2-7,0,10
LS Livingstone,939,566,165.9,66,66,39,39,6,0,29.34,0.154,0.0,11,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,32,1,3.12,4,4.18,58.97,1-7,1,5
BA Stokes,935,689,135.7,81,32,43,43,2,2,24.61,0.047,0.047,12,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Royal Challengers Bangalore|Sunrisers Hyderabad,38,3,7.89,4,3.91,32.56,1-6,4,12
DP Conway,924,638,144.83,100,30,22,22,9,0,48.63,0.409,0.0,9,Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,19,2,10.53,2,1.95,86.36,1-3,2,22
RK Singh,893,618,144.5,67,46,40,40,4,0,30.79,0.1,0.0,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,29,0,0.0,6,5.88,45.0,3-8,0,1
HH Gibbs,886,783,113.15,83,31,36,36,6,0,28.58,0.167,0.0,7,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore,31,4,12.9,2,2.08,52.78,1-3,7,36
SM Curran,883,641,137.75,74,37,48,48,5,0,25.23,0.104,0.0,11,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,35,4,11.43,6,5.25,33.33,1-8,5,6
STR Binny,880,671,131.15,66,35,66,66,0,0,20.47,0.0,0.0,12,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rising Pune Supergiant|Royal Challengers Bangalore|Sunrisers Hyderabad,43,7,16.28,5,5.7,30.3,4-9,0,0
Harbhajan Singh,833,589,141.43,79,42,88,88,1,0,16.33,0.011,0.0,13,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,51,12,23.53,8,7.39,40.91,3-10,0,4
R Ashwin,800,661,121.03,61,28,89,89,1,0,14.04,0.011,0.0,14,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,57,11,19.3,8,7.18,40.45,2-10,0,6
RM Patidar,799,491,162.73,51,54,24,24,7,1,34.74,0.292,0.042,9,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Sunrisers Hyderabad,23,1,4.35,3,3.5,41.67,2-5,0,12
MS Bisla,798,678,117.7,93,23,39,39,4,0,22.17,0.103,0.0,11,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,36,2,5.56,1,1.82,51.28,1-7,20,38
Shakib Al Hasan,795,628,126.59,73,21,52,53,2,0,20.38,0.038,0.0,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,39,4,10.26,5,5.49,39.62,3-8,0,2
TM Head,772,439,175.85,76,40,25,25,5,1,38.6,0.2,0.04,15,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bengaluru|Sunrisers Hyderabad,20,4,20.0,1,2.44,40.0,1-6,10,19
ST Jayasuriya,768,517,148.55,84,39,30,30,4,1,27.43,0.133,0.033,7,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Rajasthan Royals|Royal Challengers Bangalore,28,2,7.14,1,1.37,73.33,1-5,22,29
P Simran Singh,756,509,148.53,78,41,34,34,3,1,22.91,0.088,0.029,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,33,3,9.09,1,1.97,50.0,1-7,17,32
GC Smith,739,656,112.65,94,9,29,29,4,0,28.42,0.138,0.0,8,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Royal Challengers Bangalore,26,3,11.54,1,1.41,58.62,1-2,17,29
JM Sharma,730,478,152.72,53,45,36,36,0,0,22.81,0.0,0.0,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,32,2,6.25,5,5.44,41.67,4-7,0,0
AD Mathews,724,568,127.46,44,29,41,41,1,0,25.86,0.024,0.0,9,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,28,2,7.14,6,5.61,51.22,4-8,0,0
C Green,707,455,155.38,62,32,28,28,2,1,41.59,0.071,0.036,9,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,17,0,0.0,3,4.14,42.86,1-7,1,14
TL Suman,676,564,119.86,55,26,39,39,2,0,22.53,0.051,0.0,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,30,3,10.0,3,3.92,35.9,1-7,5,21
AM Nayar,672,555,121.08,55,20,50,50,0,0,18.67,0.0,0.0,10,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,36,2,5.56,6,5.22,34.0,1-8,3,8
MR Marsh,665,511,130.14,48,38,36,36,3,0,21.45,0.083,0.0,13,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,31,5,16.13,3,4.31,33.33,2-10,0,20
GJ Bailey,663,533,124.39,59,19,36,36,2,0,25.5,0.056,0.0,8,Chennai Super Kings|Delhi Daredevils|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,26,1,3.85,5,4.75,30.56,1-7,1,9
TH David,659,381,172.97,38,46,35,35,0,0,29.95,0.0,0.0,9,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,22,3,13.64,6,6.09,42.86,5-8,0,0
E Lewis,654,469,139.45,62,36,26,26,4,0,27.25,0.154,0.0,11,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,24,2,8.33,2,2.35,50.0,1-6,5,22
PD Salt,653,364,179.4,74,34,21,21,6,0,34.37,0.286,0.0,11,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,19,3,15.79,1,1.71,61.9,1-4,13,19
A Badoni,634,466,136.05,46,24,35,35,4,0,25.36,0.114,0.0,10,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,25,2,8.0,6,5.71,48.57,3-8,0,4
PP Chawla,624,544,114.71,56,20,86,86,0,0,11.77,0.0,0.0,14,Chennai Super Kings|Deccan Chargers|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,53,13,24.53,8,8.01,48.84,3-10,0,1
CH Morris,618,394,156.85,41,35,49,49,2,0,22.07,0.041,0.0,14,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Lions|Kings XI Punjab|Kolkata Knight Riders|Mumbai Indians|Pune Warriors|Punjab Kings|Rajasthan Royals|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,28,9,32.14,8,7.2,36.73,3-9,0,1
JJ Roy,614,435,141.15,75,21,21,21,4,0,32.32,0.19,0.0,9,Chennai Super Kings|Delhi Capitals|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Sunrisers Hyderabad,19,0,0.0,1,1.57,76.19,1-6,16,19
JD Ryder,604,447,135.12,69,19,29,29,4,0,22.37,0.138,0.0,9,Chennai Super Kings|Deccan Chargers|Delhi Daredevils|Kings XI Punjab|Kochi Tuskers Kerala|Kolkata Knight Riders|Mumbai Indians|Rajasthan Royals|Royal Challengers Bangalore,27,4,14.81,1,1.34,68.97,1-3,20,29
SN Khan,585,442,132.35,63,14,36,36,1,0,22.5,0.028,0.0,13,Chennai Super Kings|Delhi Capitals|Delhi Daredevils|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,26,3,11.54,6,5.11,33.33,3-7,0,4
Abdul Samad,579,391,148.08,37,36,39,40,0,0,19.3,0.0,0.0,11,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kings XI Punjab|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru,30,3,10.0,7,6.35,57.5,2-8,0,1
HM Amla,577,398,144.97,60,21,16,16,3,2,44.38,0.188,0.125,8,Delhi Daredevils|Gujarat Lions|Kolkata Knight Riders|Mumbai Indians|Rising Pune Supergiant|Rising Pune Supergiants|Royal Challengers Bangalore|Sunrisers Hyderabad,13,2,15.38,1,1.56,50.0,1-3,8,16
M Shahrukh Khan,553,385,143.64,35,37,37,37,1,0,22.12,0.027,0.0,11,Chennai Super Kings|Delhi Capitals|Gujarat Titans|Kolkata Knight Riders|Lucknow Super Giants|Mumbai Indians|Punjab Kings|Rajasthan Royals|Royal Challengers Bangalore|Royal Challengers Bengaluru|Sunrisers Hyderabad,25,3,12.0,6,6.24,43.24,3-8,0,1
