Player,Team,Matches,Runs,Balls Faced,Batting_50s,Batting_100s,T(4s),T(6s),Overs,Runs_Given,Wickets,Batting_Average,StrikeRate,Bowling_Average,Bowling_SR,Economy
KK Cooper,Rajasthan Royals,0.0,1,1,0,0,0,0,96.0,789,32,0.0,80.0,24.65625,18.0,9.05
DAJ Bracewell,Delhi Daredevils,0.0,0,0,0,0,0,0,4.0,32,3,0.0,123.88366627497062,10.666666666666666,8.0,8.046181172291297
HV Patel,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,356.0,3215,133,0.0,121.875,24.172932330827066,16.06015037593985,9.75
Ankit Sharma,Deccan Chargers,10.0,0,0,0,0,0,0,61.0,453,12,0.0,50.0,37.75,30.5,8.349645629429633
SP Narine,Kolkata Knight Riders,0.0,2,1,0,0,0,0,679.0,4672,171,0.0,157.6231884057971,27.321637426900583,23.82456140350877,8.296296296296296
GB Hogg,Rajasthan Royals,0.0,0,0,0,0,0,0,76.0,585,23,0.0,80.0,25.434782608695652,19.82608695652174,7.797619047619047
P Awana,Kings XI Punjab,0.0,0,0,0,0,0,0,124.0,1046,39,0.0,118.1818181818182,26.82051282051282,19.076923076923077,8.504504504504505
V Pratap Singh,Deccan Chargers,0.0,0,0,0,0,0,0,34.0,300,10,0.0,111.76470588235294,30.0,20.4,8.989071038251366
CJ McKay,Mumbai Indians,0.0,0,0,0,0,0,0,7.0,60,1,0.0,110.62874251497006,60.0,42.0,10.666666666666666
AD Russell,Delhi Daredevils,0.0,23,16,0,0,3,1,278.0,2691,109,0.0,93.75,24.68807339449541,15.302752293577981,9.0
A Ashish Reddy,Deccan Chargers,0.0,0,0,0,0,0,0,42.0,400,17,0.0,121.09004739336493,23.529411764705884,14.823529411764707,10.636363636363637
Azhar Mahmood,Kings XI Punjab,21.0,0,0,0,0,0,0,87.0,707,28,0.0,40.0,25.25,18.642857142857142,7.085091420534459
P Negi,Delhi Daredevils,0.0,1,1,0,0,0,0,119.0,954,32,0.0,88.47352024922118,29.8125,22.3125,8.199445983379501
A Chandila,Rajasthan Royals,0.0,0,0,0,0,0,0,39.0,245,6,0.0,137.9139072847682,40.833333333333336,39.0,7.588260314759676
LJ Wright,Pune Warriors,0.0,4,1,0,0,1,0,11.0,125,2,0.0,145.86228679722046,62.5,33.0,9.06515580736544
RJ Peterson,Mumbai Indians,0.0,0,0,0,0,0,0,8.0,70,3,0.0,42.857142857142854,23.333333333333332,16.0,8.8
R Shukla,Rajasthan Royals,0.0,0,0,0,0,0,0,20.0,217,5,0.0,150.0,43.4,24.0,6.935840707964601
MJ Clarke,Pune Warriors,0.0,0,0,0,0,0,0,11.0,72,2,0.0,116.1764705882353,36.0,33.0,9.23950056753689
Gurkeerat Singh,Kings XI Punjab,0.0,0,0,0,0,0,0,13.0,97,5,0.0,112.94117647058825,19.4,15.6,9.724137931034482
MG Johnson,Mumbai Indians,0.0,1,1,0,0,0,0,204.0,1740,62,0.0,123.3766233766234,28.06451612903226,19.741935483870968,10.333333333333334
JJ Bumrah,Mumbai Indians,0.0,0,1,0,0,0,0,509.0,3840,164,0.0,20.0,23.414634146341463,18.621951219512194,9.6
GH Vihari,Sunrisers Hyderabad,0.0,3,2,0,0,0,0,7.0,48,1,0.0,128.26086956521738,48.0,42.0,10.0
S Badree,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,43.0,329,11,0.0,66.66666666666666,29.90909090909091,23.454545454545453,20.0
AS Rajpoot,Chennai Super Kings,0.0,0,0,0,0,0,0,88.0,844,23,0.0,141.76904176904176,36.69565217391305,22.956521739130434,7.975929978118161
B Laughlin,Chennai Super Kings,0.0,0,0,0,0,0,0,27.0,284,10,0.0,165.8064516129032,28.4,16.2,7.453333333333333
Mohammed Shami,Kolkata Knight Riders,23.0,0,0,0,0,0,0,403.0,3486,125,0.0,109.78934324659232,27.888,19.344,8.512747875354107
BMAJ Mendis,Delhi Daredevils,0.0,0,0,0,0,0,0,5.0,36,1,0.0,101.53846153846152,36.0,30.0,9.225806451612904
CH Morris,Chennai Super Kings,0.0,6,1,0,0,0,1,287.0,2377,94,0.0,89.1891891891892,25.28723404255319,18.319148936170212,8.745387453874539
S Kaul,Delhi Daredevils,0.0,0,0,0,0,0,0,198.0,1772,58,0.0,104.76190476190476,30.551724137931036,20.482758620689655,9.652173913043478
R Dhawan,Mumbai Indians,0.0,0,0,0,0,0,0,110.0,922,25,0.0,120.40169133192389,36.88,26.4,13.0
MM Sharma,Chennai Super Kings,0.0,0,0,0,0,0,0,370.0,3278,128,0.0,41.17647058823529,25.609375,17.34375,8.960674157303373
R Rampaul,Royal Challengers Bangalore,0.0,1,1,0,0,0,0,44.0,319,16,0.0,134.2576545349509,19.9375,16.5,7.187700192184499
SMSM Senanayake,Kolkata Knight Riders,0.0,0,1,0,0,0,0,32.0,211,9,0.0,175.0,23.444444444444443,21.333333333333332,8.342857142857143
JO Holder,Sunrisers Hyderabad,0.0,0,2,0,0,0,0,164.0,1489,53,0.0,78.35051546391753,28.09433962264151,18.566037735849058,14.0
IC Pandey,Pune Warriors,0.0,0,0,0,0,0,0,77.0,609,18,0.0,90.32258064516128,33.833333333333336,25.666666666666668,6.714285714285714
Sandeep Sharma,Kings XI Punjab,25.0,1,1,0,0,0,0,468.0,3758,133,0.04,0.0,28.25563909774436,21.112781954887218,7.656565656565657
YS Chahal,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,584.0,4681,201,0.0,136.36363636363637,23.28855721393035,17.432835820895523,7.87751677852349
DJG Sammy,Sunrisers Hyderabad,0.0,0,0,0,0,0,0,39.0,354,11,0.0,98.14814814814817,32.18181818181818,21.272727272727273,8.875
KW Richardson,Pune Warriors,0.0,0,0,0,0,0,0,55.0,479,18,0.0,109.22592259225922,26.61111111111111,18.333333333333332,7.420031463030939
PV Tambe,Rajasthan Royals,0.0,0,1,0,0,0,0,110.0,866,25,0.0,100.0,34.64,26.4,8.814814814814815
Parvez Rasool,Pune Warriors,4.0,0,0,0,0,0,0,33.0,273,4,0.0,114.75409836065572,68.25,49.5,13.5
Sachin Baby,Rajasthan Royals,11.0,2,3,0,0,0,0,1.0,8,2,0.18181818181818182,111.53846153846156,4.0,3.0,9.066985645933013
NM Coulter-Nile,Mumbai Indians,0.0,0,0,0,0,0,0,142.0,1125,45,0.0,135.47557840616966,25.0,18.933333333333334,30.0
CJ Anderson,Mumbai Indians,0.0,0,2,0,0,0,0,48.0,525,11,0.0,108.63787375415282,47.72727272727273,26.181818181818183,6.710963455149502
MA Starc,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,137.0,1175,50,0.0,136.27450980392155,23.5,16.44,9.076923076923077
JDS Neesham,Delhi Daredevils,0.0,0,0,0,0,0,0,36.0,342,8,0.0,98.9247311827957,42.75,27.0,11.4
AR Patel,Kings XI Punjab,0.0,10,4,0,0,0,1,515.0,3824,116,0.0,115.38461538461536,32.96551724137931,26.637931034482758,9.666666666666666
R Tewatia,Rajasthan Royals,0.0,2,4,0,0,0,0,140.0,1117,32,0.0,72.72727272727273,34.90625,26.25,7.9
Shivam Sharma,Kings XI Punjab,2.0,0,0,0,0,0,0,19.0,165,4,0.0,66.66666666666666,41.25,28.5,9.42714819427148
Imran Tahir,Delhi Daredevils,8.0,0,0,0,0,0,0,217.0,1729,77,0.0,122.74881516587676,22.454545454545453,16.90909090909091,7.960819234194122
LMP Simmons,Mumbai Indians,0.0,0,4,0,0,0,0,3.0,34,1,0.0,138.6004514672686,34.0,18.0,7.983063895304079
V Shankar,Sunrisers Hyderabad,0.0,5,2,0,0,1,0,38.0,344,8,0.0,84.84848484848484,43.0,28.5,8.442926273840024
BCJ Cutting,Rajasthan Royals,0.0,0,0,0,0,0,0,46.0,430,10,0.0,133.33333333333331,43.0,27.6,8.310546875
S Gopal,Mumbai Indians,0.0,0,0,0,0,0,0,165.0,1358,45,0.0,111.11111111111111,30.177777777777777,22.0,8.333333333333334
BE Hendricks,Kings XI Punjab,0.0,0,0,0,0,0,0,25.0,239,9,0.0,123.57142857142858,26.555555555555557,16.666666666666668,10.254545454545454
PJ Cummins,Kolkata Knight Riders,0.0,5,2,0,0,0,0,218.0,1976,63,0.0,124.02200488997556,31.365079365079364,20.761904761904763,6.333333333333333
Karanveer Singh,Kings XI Punjab,4.0,0,0,0,0,0,0,34.0,323,12,0.0,85.18518518518519,26.916666666666668,17.0,11.75
DJ Muthuswami,Delhi Daredevils,0.0,0,0,0,0,0,0,14.0,108,4,0.0,100.0,27.0,21.0,7.453287197231834
DJ Hooda,Rajasthan Royals,0.0,11,5,0,0,2,0,62.0,535,10,0.0,131.87772925764193,53.5,37.2,10.593047034764826
TA Boult,Kolkata Knight Riders,0.0,0,0,0,0,0,0,386.0,3286,118,0.0,62.5,27.847457627118644,19.627118644067796,9.0
KC Cariappa,Kings XI Punjab,5.0,0,0,0,0,0,0,36.0,349,7,0.0,159.23753665689148,49.857142857142854,30.857142857142858,11.857142857142858
J Suchith,Mumbai Indians,0.0,0,0,0,0,0,0,70.0,604,18,0.0,0.0,33.55555555555556,23.333333333333332,7.406749555950267
RG More,Chennai Super Kings,0.0,0,0,0,0,0,0,5.0,63,1,0.0,66.66666666666666,63.0,30.0,9.161764705882351
D Wiese,Royal Challengers Bangalore,0.0,1,1,0,0,0,0,49.0,447,15,0.0,155.46875,29.8,19.6,7.364975450081832
HH Pandya,Mumbai Indians,0.0,13,9,0,0,1,0,234.0,2196,57,0.0,120.0,38.526315789473685,24.63157894736842,12.714285714285714
MJ McClenaghan,Mumbai Indians,0.0,1,1,0,0,0,0,211.0,1839,70,0.0,113.9275766016713,26.271428571428572,18.085714285714285,11.333333333333334
SN Thakur,Kings XI Punjab,0.0,1,1,0,0,0,0,306.0,2908,90,0.0,112.5,32.31111111111111,20.4,8.727272727272727
J Yadav,Delhi Daredevils,0.0,0,0,0,0,0,0,65.0,447,6,0.0,142.65193370165744,74.5,65.0,8.219936708860759
BB Sran,Sunrisers Hyderabad,0.0,1,1,0,0,0,0,80.0,767,18,0.0,148.32029452369994,42.611111111111114,26.666666666666668,10.657894736842106
M Ashwin,Rising Pune Supergiants,0.0,0,0,0,0,0,0,144.0,1182,34,0.0,67.85714285714286,34.76470588235294,25.41176470588235,7.865699873896595
CR Brathwaite,Delhi Daredevils,0.0,1,1,0,0,0,0,41.0,384,13,0.0,101.29870129870127,29.53846153846154,18.923076923076923,8.101983002832862
MP Stoinis,Kings XI Punjab,0.0,10,6,0,0,2,0,131.0,1300,43,0.0,108.33333333333331,30.232558139534884,18.27906976744186,8.226190476190474
P Sahu,Kings XI Punjab,0.0,0,0,0,0,0,0,17.0,152,3,0.0,114.28571428571428,50.666666666666664,34.0,7.426470588235294
Mustafizur Rahman,Mumbai Indians,6.0,0,0,0,0,0,0,211.0,1792,59,0.0,134.42040684533418,30.372881355932204,21.45762711864407,7.755248091603055
AF Milne,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,34.0,339,7,0.0,0.0,48.42857142857143,29.142857142857142,8.695945945945946
Kuldeep Yadav,Kolkata Knight Riders,27.0,0,0,0,0,0,0,290.0,2413,80,0.0,50.0,30.1625,21.75,8.735294117647058
KH Pandya,Mumbai Indians,0.0,4,1,0,0,1,0,353.0,2644,70,0.0,103.91061452513964,37.77142857142857,30.257142857142856,9.05027932960894
KJ Abbott,Kings XI Punjab,0.0,0,0,0,0,0,0,16.0,182,2,0.0,66.66666666666666,91.0,48.0,8.038781163434903
TM Head,Royal Challengers Bangalore,0.0,5,3,0,0,1,0,8.0,113,2,0.0,164.1025641025641,56.5,24.0,7.609409190371992
T Shamsi,Rajasthan Royals,0.0,0,0,0,0,0,0,20.0,185,2,0.0,60.0,92.5,60.0,7.257853403141361
S Kaushik,Gujarat Lions,0.0,0,0,0,0,0,0,34.0,304,6,0.0,92.3076923076923,50.666666666666664,34.0,10.0
Swapnil Singh,Kings XI Punjab,4.0,0,0,0,0,0,0,27.0,241,6,0.0,126.03479304139172,40.166666666666664,27.0,7.4186046511627906
CJ Jordan,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,112.0,1111,29,0.0,94.37229437229438,38.310344827586206,23.17241379310345,7.543314082629942
A Zampa,Rising Pune Supergiants,0.0,0,0,0,0,0,0,69.0,562,29,0.0,64.0,19.379310344827587,14.275862068965518,8.20532319391635
N Rana,Mumbai Indians,0.0,15,6,0,0,2,1,29.0,253,10,0.0,70.58823529411765,25.3,17.4,8.77158362111495
DL Chahar,Rising Pune Supergiant,0.0,0,0,0,0,0,0,277.0,2243,75,0.0,114.6953405017921,29.906666666666666,22.16,10.5
TS Mills,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,34.0,349,11,0.0,81.25,31.727272727272727,18.545454545454547,3.75
A Choudhary,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,16.0,144,5,0.0,127.75405636208367,28.8,19.2,12.0
Rashid Khan,Sunrisers Hyderabad,50.0,9,6,0,0,2,0,476.0,3340,147,0.18,123.13965341488276,22.72108843537415,19.428571428571427,7.955801104972375
BA Stokes,Rising Pune Supergiant,0.0,1,3,0,0,0,0,114.0,1023,28,0.0,75.0,36.535714285714285,24.428571428571427,7.839597514057414
CR Woakes,Kolkata Knight Riders,0.0,0,0,0,0,0,0,73.0,674,29,0.0,111.11111111111111,23.24137931034483,15.10344827586207,8.022598870056498
T Natarajan,Sunrisers Hyderabad,2.0,0,0,0,0,0,0,221.0,2001,66,0.0,134.72409152086138,30.318181818181817,20.09090909090909,14.2
RD Chahar,Rising Pune Supergiant,0.0,0,0,0,0,0,0,275.0,2165,71,0.0,170.58823529411765,30.492957746478872,23.239436619718308,7.944274549779137
B Stanlake,Sunrisers Hyderabad,0.0,0,0,0,0,0,0,24.0,200,7,0.0,14.285714285714285,28.571428571428573,20.571428571428573,7.0212765957446805
Basil Thampi,Gujarat Lions,7.0,0,0,0,0,0,0,85.0,862,21,0.0,147.3229706390328,41.04761904761905,24.285714285714285,7.5
C de Grandhomme,Kolkata Knight Riders,0.0,6,1,0,0,0,1,35.0,323,6,0.0,133.33333333333331,53.833333333333336,35.0,7.480314960629921
AJ Tye,Gujarat Lions,0.0,0,1,0,0,0,0,114.0,1005,41,0.0,166.89189189189187,24.51219512195122,16.682926829268293,9.73913043478261
LH Ferguson,Rising Pune Supergiant,0.0,4,1,0,0,1,0,157.0,1451,48,0.0,133.3920704845815,30.229166666666668,19.625,8.439306358381502
Mohammad Nabi,Sunrisers Hyderabad,14.0,6,1,0,0,0,1,68.0,527,15,0.42857142857142855,0.0,35.13333333333333,27.2,9.209302325581396
Mohammed Siraj,Royal Challengers Bangalore,19.0,0,2,0,0,0,0,325.0,2894,92,0.0,77.71428571428571,31.456521739130434,21.195652173913043,8.212121212121213
K Rabada,Delhi Daredevils,0.0,0,1,0,0,0,0,301.0,2652,116,0.0,0.0,22.862068965517242,15.568965517241379,7.754545454545455
Washington Sundar,Rising Pune Supergiant,37.0,1,1,0,0,0,0,175.0,1335,35,0.02702702702702703,75.0,38.142857142857146,30.0,7.699963140434942
Ankit Soni,Gujarat Lions,3.0,0,0,0,0,0,0,18.0,145,2,0.0,121.19252873563218,72.5,54.0,11.0625
Avesh Khan,Delhi Capitals,7.0,0,0,0,0,0,0,221.0,2010,72,0.0,107.6923076923077,27.916666666666668,18.416666666666668,8.80415944540728
MA Wood,Chennai Super Kings,0.0,0,0,0,0,0,0,20.0,192,11,0.0,162.5,17.454545454545453,10.909090909090908,10.043290043290042
M Markande,Mumbai Indians,0.0,0,0,0,0,0,0,120.0,1081,36,0.0,118.1818181818182,30.02777777777778,20.0,8.228113010115102
Mujeeb Ur Rahman,Kings XI Punjab,6.0,0,0,0,0,0,0,72.0,598,19,0.0,144.106463878327,31.473684210526315,22.736842105263158,7.461538461538462
DJM Short,Rajasthan Royals,0.0,0,0,0,0,0,0,3.0,23,1,0.0,73.46938775510205,23.0,18.0,7.714285714285714
K Gowtham,Rajasthan Royals,0.0,0,0,0,0,0,0,98.0,825,20,0.0,106.11510791366908,41.25,29.4,8.953771289537713
TK Curran,Kolkata Knight Riders,0.0,0,0,0,0,0,0,38.0,432,13,0.0,88.88888888888889,33.23076923076923,17.53846153846154,5.714285714285714
Shivam Mavi,Kolkata Knight Riders,11.0,0,0,0,0,0,0,108.0,958,29,0.0,115.71428571428572,33.03448275862069,22.344827586206897,8.166666666666666
JC Archer,Rajasthan Royals,0.0,13,4,0,0,0,2,156.0,1210,45,0.0,119.11764705882352,26.88888888888889,20.8,7.391442155309034
LE Plunkett,Delhi Daredevils,0.0,0,0,0,0,0,0,25.0,228,4,0.0,126.6431924882629,57.0,37.5,7.214285714285714
IS Sodhi,Rajasthan Royals,0.0,0,0,0,0,0,0,30.0,204,9,0.0,165.6,22.666666666666668,20.0,7.675324675324675
MK Lomror,Rajasthan Royals,0.0,1,1,0,0,0,0,15.0,127,1,0.0,33.33333333333333,127.0,90.0,9.441176470588236
KM Asif,Rajasthan Royals,1.0,0,0,0,0,0,0,22.0,232,7,0.0,100.0,33.142857142857146,18.857142857142858,8.538011695906432
DJ Willey,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,36.0,277,6,0.0,148.88888888888889,46.166666666666664,36.0,8.706293706293707
M Prasidh Krishna,Kolkata Knight Riders,0.0,0,0,0,0,0,0,190.0,1741,50,0.0,0.0,34.82,22.8,8.928571428571427
MM Ali,Royal Challengers Bangalore,0.0,2,3,0,0,0,0,125.0,900,33,0.0,122.7642276422764,27.272727272727273,22.727272727272727,9.4375
JPR Scantlebury-Searles,Kolkata Knight Riders,0.0,0,0,0,0,0,0,7.0,89,2,0.0,100.0,44.5,21.0,8.68421052631579
Abhishek Sharma,Delhi Daredevils,45.0,8,4,0,0,0,1,45.0,396,11,0.17777777777777778,176.66666666666666,36.0,24.545454545454547,6.932409012131715
S Lamichhane,Delhi Capitals,0.0,0,0,0,0,0,0,35.0,297,12,0.0,134.81012658227849,24.75,17.5,7.188796680497925
KK Ahmed,Sunrisers Hyderabad,0.0,0,0,0,0,0,0,210.0,1918,74,0.0,135.91869483819204,25.91891891891892,17.027027027027028,10.727272727272728
S Dube,Royal Challengers Bangalore,0.0,3,2,0,0,0,0,18.0,190,5,0.0,100.0,38.0,21.6,8.13888888888889
Navdeep Saini,Royal Challengers Bangalore,7.0,0,0,0,0,0,0,108.0,968,24,0.0,123.25581395348836,40.333333333333336,27.0,10.25
Rasikh Salam,Mumbai Indians,2.0,0,0,0,0,0,0,32.0,341,9,0.0,79.71014492753623,37.888888888888886,21.333333333333332,7.230769230769231
KMA Paul,Delhi Capitals,0.0,0,0,0,0,0,0,27.0,239,9,0.0,131.8032786885246,26.555555555555557,18.0,9.38888888888889
SM Curran,Kings XI Punjab,0.0,9,4,0,0,2,0,195.0,1924,57,0.0,61.111111111111114,33.75438596491228,20.526315789473685,9.4
CV Varun,Kolkata Knight Riders,0.0,0,0,0,0,0,0,264.0,2042,80,0.0,130.63932448733414,25.525,19.8,7.909604519774011
GC Viljoen,Kings XI Punjab,0.0,0,0,0,0,0,0,23.0,229,7,0.0,122.91066282420748,32.714285714285715,19.714285714285715,7.90144727773949
MJ Santner,Chennai Super Kings,0.0,1,1,0,0,0,0,61.0,428,14,0.0,120.9656925031766,30.571428571428573,26.142857142857142,7.033678756476684
JP Behrendorff,Mumbai Indians,0.0,0,0,0,0,0,0,61.0,563,19,0.0,116.97722567287784,29.63157894736842,19.263157894736842,8.27835880933226
AS Joseph,Mumbai Indians,0.0,0,0,0,0,0,0,71.0,707,20,0.0,139.43661971830986,35.35,21.3,8.082901554404145
HF Gurney,Kolkata Knight Riders,0.0,0,0,0,0,0,0,27.0,239,7,0.0,97.65625,34.142857142857146,23.142857142857142,7.251828631138976
R Parag,Rajasthan Royals,0.0,0,3,0,0,0,0,29.0,307,4,0.0,113.67521367521368,76.75,43.5,7.725806451612903
LS Livingstone,Rajasthan Royals,0.0,16,7,0,0,2,1,42.0,395,9,0.0,50.0,43.888888888888886,28.0,6.687697160883281
Arshdeep Singh,Kings XI Punjab,10.0,0,0,0,0,0,0,223.0,2097,72,0.0,90.56603773584906,29.125,18.583333333333332,8.629343629343628
SE Rutherford,Delhi Capitals,0.0,0,0,0,0,0,0,6.0,60,1,0.0,140.62797335870602,60.0,36.0,9.36111111111111
Harpreet Brar,Kings XI Punjab,17.0,0,0,0,0,0,0,113.0,907,25,0.0,127.50809061488673,36.28,27.12,6.8663594470046085
Y Prithvi Raj,Kolkata Knight Riders,0.0,0,0,0,0,0,0,5.0,57,1,0.0,150.0,57.0,30.0,8.0
AS Roy,Kolkata Knight Riders,0.0,0,0,0,0,0,0,22.0,191,4,0.0,93.6046511627907,47.75,33.0,10.4
JL Pattinson,Mumbai Indians,0.0,0,0,0,0,0,0,35.0,321,11,0.0,137.75510204081633,29.181818181818183,19.09090909090909,7.885416666666667
SS Cottrell,Kings XI Punjab,0.0,0,0,0,0,0,0,20.0,177,6,0.0,100.0,29.5,20.0,11.333333333333334
Ravi Bishnoi,Kings XI Punjab,11.0,0,0,0,0,0,0,234.0,1861,61,0.0,137.51552795031057,30.508196721311474,23.016393442622952,7.5
A Nortje,Delhi Capitals,0.0,0,0,0,0,0,0,174.0,1614,59,0.0,127.17391304347828,27.35593220338983,17.694915254237287,9.028571428571428
I Udana,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,29.0,286,8,0.0,104.67836257309942,35.75,21.75,11.25
TU Deshpande,Delhi Capitals,0.0,0,0,0,0,0,0,128.0,1275,42,0.0,133.659289758106,30.357142857142858,18.285714285714285,7.653958944281524
KL Nagarkoti,Kolkata Knight Riders,0.0,0,0,0,0,0,0,30.0,287,5,0.0,114.28571428571428,57.4,36.0,7.525773195876289
Abdul Samad,Sunrisers Hyderabad,27.0,5,3,0,0,1,0,9.0,113,2,0.18518518518518517,123.40425531914892,56.5,27.0,8.971722365038561
Kartik Tyagi,Rajasthan Royals,6.0,0,0,0,0,0,0,70.0,720,15,0.0,104.25531914893618,48.0,28.0,12.285714285714286
DR Sams,Delhi Capitals,0.0,0,0,0,0,0,0,60.0,528,14,0.0,122.64267990074444,37.714285714285715,25.714285714285715,8.178082191780822
Shahbaz Ahmed,Royal Challengers Bangalore,25.0,1,2,0,0,0,0,89.0,850,20,0.04,94.8051948051948,42.5,26.7,7.622097678142514
JR Hazlewood,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,100.0,830,34,0.0,143.29896907216494,24.41176470588235,17.647058823529413,7.3433115060804495
P Dubey,Delhi Capitals,0.0,0,0,0,0,0,0,11.0,91,1,0.0,144.44444444444443,91.0,66.0,7.565028901734104
KA Jamieson,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,28.0,271,9,0.0,101.82926829268293,30.11111111111111,18.666666666666668,8.11529933481153
M Jansen,Mumbai Indians,0.0,0,0,0,0,0,0,75.0,732,20,0.0,125.05175983436854,36.6,22.5,8.194622279129321
C Sakariya,Rajasthan Royals,0.0,0,1,0,0,0,0,71.0,610,20,0.0,121.42857142857142,30.5,21.3,7.2
JA Richardson,Punjab Kings,0.0,0,0,0,0,0,0,15.0,162,3,0.0,103.7037037037037,54.0,30.0,9.186440677966102
RP Meredith,Mumbai Indians,0.0,0,0,0,0,0,0,62.0,621,19,0.0,97.95918367346938,32.68421052631579,19.57894736842105,8.04180418041804
Lalit Yadav,Delhi Capitals,19.0,11,5,0,0,1,1,48.0,430,9,0.5789473684210527,109.36170212765956,47.77777777777778,32.0,8.204081632653061
FA Allen,Punjab Kings,0.0,1,1,0,0,0,0,15.0,136,2,0.0,143.015214384509,68.0,45.0,9.43661971830986
PWH de Silva,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,92.0,758,33,0.0,20.0,22.96969696969697,16.727272727272727,8.84375
VR Iyer,Kolkata Knight Riders,0.0,6,1,0,0,0,1,13.0,145,3,0.0,50.0,48.333333333333336,26.0,6.53125
Umran Malik,Sunrisers Hyderabad,5.0,6,1,0,0,0,1,82.0,785,27,1.2,77.10843373493977,29.074074074074073,18.22222222222222,6.205128205128205
GD Phillips,Rajasthan Royals,0.0,0,1,0,0,0,0,5.0,40,2,0.0,103.6,20.0,15.0,8.451443569553806
AK Markram,Punjab Kings,0.0,0,3,0,0,0,0,20.0,173,1,0.0,151.26050420168067,173.0,120.0,8.419354838709678
GHS Garton,Royal Challengers Bangalore,0.0,0,0,0,0,0,0,15.0,136,3,0.0,93.67088607594935,45.333333333333336,30.0,7.912621359223301
K Yadav,Rajasthan Royals,0.0,0,0,0,0,0,0,9.0,85,2,0.0,87.38738738738738,42.5,27.0,10.491071428571429
NT Ellis,Punjab Kings,0.0,0,0,0,0,0,0,59.0,514,17,0.0,50.0,30.235294117647058,20.823529411764707,8.840245775729647
AU Rashid,Sunrisers Hyderabad,0.0,1,1,0,0,0,0,10.0,91,2,0.0,103.38983050847456,45.5,30.0,6.953125
R Powell,Delhi Capitals,0.0,0,0,0,0,0,0,3.0,35,1,0.0,113.9423076923077,35.0,18.0,6.775510204081633
OF Smith,Punjab Kings,0.0,0,0,0,0,0,0,15.0,179,6,0.0,100.0,29.833333333333332,15.0,7.125
Akash Deep,Royal Challengers Bangalore,2.0,0,0,0,0,0,0,26.0,324,6,0.0,126.9035532994924,54.0,26.0,10.782608695652174
A Badoni,Lucknow Super Giants,0.0,1,1,0,0,0,0,4.0,37,1,0.0,140.0,37.0,24.0,7.113636363636363
PVD Chameera,Lucknow Super Giants,0.0,0,0,0,0,0,0,47.0,442,9,0.0,126.51515151515152,49.111111111111114,31.333333333333332,8.135245901639344
Mohsin Khan,Lucknow Super Giants,4.0,0,0,0,0,0,0,81.0,698,27,0.0,80.0,25.85185185185185,18.0,7.88
R Shepherd,Sunrisers Hyderabad,0.0,0,1,0,0,0,0,21.0,260,4,0.0,100.0,65.0,31.5,11.609195402298852
D Pretorius,Chennai Super Kings,0.0,0,0,0,0,0,0,25.0,242,6,0.0,77.77777777777779,40.333333333333336,25.0,9.0
Mukesh Choudhary,Chennai Super Kings,2.0,0,0,0,0,0,0,46.0,452,16,0.0,95.1219512195122,28.25,17.25,15.5
VG Arora,Punjab Kings,0.0,0,0,0,0,0,0,63.0,598,19,0.0,104.62962962962963,31.473684210526315,19.894736842105264,12.0
D Brevis,Mumbai Indians,0.0,0,0,0,0,0,0,0.0,8,1,0.0,121.87063750581666,8.0,0.0,9.833333333333334
DG Nalkande,Gujarat Titans,0.0,0,0,0,0,0,0,13.0,150,6,0.0,70.0,25.0,13.0,8.0625
M Theekshana,Chennai Super Kings,0.0,0,0,0,0,0,0,104.0,814,25,0.0,109.09090909090908,32.56,24.96,7.769230769230769
Ramandeep Singh,Mumbai Indians,4.0,6,2,0,0,0,1,6.0,64,5,1.5,56.52173913043478,12.8,7.2,0.0
KR Sen,Rajasthan Royals,0.0,0,0,0,0,0,0,39.0,396,13,0.0,66.66666666666666,30.46153846153846,18.0,8.764940239043824
Yash Dayal,Gujarat Titans,1.0,0,0,0,0,0,0,96.0,933,28,0.0,118.35491241431836,33.32142857142857,20.571428571428573,7.248953974895397
Shashank Singh,Sunrisers Hyderabad,5.0,0,0,0,0,0,0,3.0,25,1,0.0,110.20408163265304,25.0,18.0,8.167330677290837
OC McCoy,Rajasthan Royals,0.0,0,0,0,0,0,0,26.0,255,11,0.0,113.88888888888889,23.181818181818183,14.181818181818182,7.938540332906531
HR Shokeen,Mumbai Indians,0.0,0,0,0,0,0,0,34.0,320,5,0.0,76.0,64.0,40.8,8.0
DJ Mitchell,Rajasthan Royals,0.0,0,0,0,0,0,0,8.0,97,1,0.0,118.1818181818182,97.0,48.0,6.819239720713731
Harshit Rana,Kolkata Knight Riders,3.0,0,0,0,0,0,0,64.0,590,24,0.0,100.0,24.583333333333332,16.0,8.666666666666666
