,TO,RG,WT,Avg,Sr,Eco,5W,3W
Vikramjeet Malik,34.1,261,6,43.5,34.1,7.653958944281524,0,0
Brett Lee,145.5,1095,25,43.8,34.92,7.525773195876289,0,1
Jacob Oram,38.9,349,9,38.77777777777778,25.93333333333333,8.971722365038561,0,1
Cameron White,7.0,86,1,86.0,42.0,12.285714285714286,0,0
Sreesanth,146.0,1194,40,29.85,21.9,8.178082191780822,0,1
Siddharth Trivedi,249.8,1904,65,29.29230769230769,23.05846153846154,7.622097678142514,0,5
Dirk Nannes,106.89999999999999,785,28,28.035714285714285,22.907142857142855,7.3433115060804495,0,2
Ryan Harris,138.4,1047,45,23.266666666666666,18.453333333333337,7.565028901734104,0,6
Tillakaratne Dilshan,45.1,366,5,73.2,54.120000000000005,8.11529933481153,0,0
Shaun Tait,78.1,640,23,27.82608695652174,20.37391304347826,8.194622279129321,0,4
Jeevan Mendis,5.0,36,1,36.0,30.0,7.2,0,0
Ryan McLaren,59.0,542,12,45.166666666666664,29.5,9.186440677966102,0,0
Harmeet Singh,90.9,731,27,27.074074074074073,20.200000000000003,8.04180418041804,0,2
Anand Rajan,24.5,201,8,25.125,18.375,8.204081632653061,0,1
Aaron Finch,7.1,67,1,67.0,42.599999999999994,9.43661971830986,0,0
Jamaluddin Syed Mohammad,32.0,283,8,35.375,24.0,8.84375,0,0
Sachithra Senanayake,32.0,209,9,23.22222222222222,21.333333333333332,6.53125,0,0
Ajit  Chandila,39.0,242,11,22.0,21.272727272727273,6.205128205128205,0,1
Abhishek Nayar,38.1,322,9,35.77777777777778,25.400000000000002,8.451443569553806,0,1
Andrew McDonald,31.0,261,11,23.727272727272727,16.90909090909091,8.419354838709678,0,0
Ankeet Chavan,41.2,326,8,40.75,30.900000000000002,7.912621359223301,0,0
Virender Sehwag,22.4,235,6,39.166666666666664,22.399999999999995,10.491071428571429,0,0
Ajit Agarkar,130.2,1151,29,39.689655172413794,26.937931034482755,8.840245775729647,0,1
Dimitri Mascarenhas,51.2,356,19,18.736842105263158,16.168421052631583,6.953125,1,2
Roelof van der Merwe,73.5,498,21,23.714285714285715,21.0,6.775510204081633,0,1
Ajantha Mendis,40.0,285,8,35.625,30.0,7.125,0,0
Luke Wright,11.5,124,2,62.0,34.5,10.782608695652174,0,0
Ali Murtaza,44.0,313,9,34.77777777777778,29.333333333333332,7.113636363636363,0,1
Bhargav Bhatt,48.8,397,12,33.083333333333336,24.399999999999995,8.135245901639344,0,1
Tirumalasetti Suman,25.0,197,6,32.833333333333336,25.0,7.88,0,0
Sumit Narwal,17.4,202,5,40.4,20.88,11.609195402298852,0,1
Krishnakant  Upadhyay,9.0,81,0,0.0,0.0,9.0,0,0
Michael Neser,4.0,62,0,0.0,0.0,15.5,0,0
Ben Rohrer,1.0,12,0,0.0,0.0,12.0,0,0
Abhimanyu Mithun,48.0,472,7,67.42857142857143,41.142857142857146,9.833333333333334,0,0
Raiphi Gomez,16.0,129,5,25.8,19.2,8.0625,0,0
Brad Hodge,39.0,303,17,17.823529411764707,13.764705882352942,7.769230769230769,0,2
Adam Gilchrist,0.1,0,1,0.0,0.6000000000000001,0.0,0,0
James Franklin,25.1,220,9,24.444444444444443,16.733333333333334,8.764940239043824,0,0
Doug Bollinger,95.6,693,37,18.72972972972973,15.5027027027027,7.2489539748953975,0,4
Paul Valthaty,25.1,205,7,29.285714285714285,21.514285714285716,8.167330677290837,0,1
Amit Singh,78.1,620,28,22.142857142857142,16.735714285714284,7.9385403329065305,0,3
Doug Bracewell,4.0,32,3,10.666666666666666,8.0,8.0,0,1
Daniel Vettori,128.9,879,28,31.392857142857142,27.621428571428574,6.819239720713731,0,2
Daniel Harris,3.0,26,0,0.0,0.0,8.666666666666666,0,0
TP Sudhindra,11.4,136,1,136.0,68.4,11.929824561403509,0,0
Faf du Plessis,1.0,16,0,0.0,0.0,16.0,0,0
Jesse Ryder,39.2,303,8,37.875,29.400000000000002,7.729591836734693,0,0
Kevin Pietersen,29.0,215,7,30.714285714285715,24.857142857142858,7.413793103448276,0,0
Raju Bhatkal,2.0,35,0,0.0,0.0,17.5,0,0
Ashok Menaria,18.2,144,3,48.0,36.4,7.912087912087912,0,0
Nuwan Kulasekara,17.0,120,5,24.0,20.4,7.0588235294117645,0,0
Yo Mahesh,56.300000000000004,499,21,23.761904761904763,16.085714285714285,8.86323268206039,0,2
Pankaj Singh,50.0,468,11,42.54545454545455,27.272727272727273,9.36,0,0
Clint McKay,7.0,60,1,60.0,42.0,8.571428571428571,0,0
KP Appanna,36.0,286,9,31.77777777777778,24.0,7.944444444444445,0,1
Veer Pratap Singh,34.0,296,10,29.6,20.4,8.705882352941176,0,0
Yogesh Nagar,11.0,125,4,31.25,16.5,11.363636363636363,0,0
Alfonso Thomas,52.3,406,14,29.0,22.41428571428571,7.762906309751434,0,1
Sourav Ganguly,46.0,363,10,36.3,27.6,7.891304347826087,0,0
Robin Peterson,8.0,70,3,23.333333333333332,16.0,8.75,0,1
Shikhar Dhawan,8.0,66,4,16.5,12.0,8.25,0,0
Asad Pathan,6.3,63,0,0.0,0.0,10.0,0,0
Michael Clarke,11.0,67,2,33.5,33.0,6.090909090909091,0,0
Abhishek Jhunjhunwala,14.1,129,1,129.0,84.6,9.148936170212766,0,0
Prasanth Parameswaran,25.400000000000002,224,9,24.88888888888889,16.933333333333334,8.818897637795274,0,1
Steven Smith,0.2,5,0,0.0,0.0,25.0,0,0
Ramesh Powar,71.0,527,13,40.53846153846154,32.76923076923077,7.422535211267606,0,0
Sunny Gupta,3.0,47,0,0.0,0.0,15.666666666666666,0,0
Suraj Randiv,29.0,223,6,37.166666666666664,29.0,7.689655172413793,0,0
Shane Warne,199.0,1447,57,25.385964912280702,20.94736842105263,7.271356783919598,0,5
Shrikant Wagh,17.0,137,5,27.4,20.4,8.058823529411764,0,1
Mithun Manhas,7.0,42,0,0.0,0.0,6.0,0,0
Nathan Rimmington,3.0,19,0,0.0,0.0,6.333333333333333,0,0
Dwaraka Ravi Teja,3.0,28,1,28.0,18.0,9.333333333333334,0,0
Scott Styris,36.0,276,8,34.5,27.0,7.666666666666667,0,1
Johan van der Wath,12.0,129,3,43.0,24.0,10.75,0,0
Ryan Ninan,6.0,65,3,21.666666666666668,12.0,10.833333333333334,0,0
Nayan Doshi,9.2,79,2,39.5,27.599999999999998,8.58695652173913,0,0
James Hopes,60.0,548,14,39.142857142857146,25.714285714285715,9.133333333333333,0,0
Abhishek Raut,5.0,44,0,0.0,0.0,8.8,0,0
Joginder Sharma,42.4,419,12,34.916666666666664,21.2,9.882075471698114,0,0
Shalabh Srivastava,47.0,441,14,31.5,20.142857142857142,9.382978723404255,0,0
Nathan McCullum,5.0,34,0,0.0,0.0,6.8,0,0
Jerome Taylor,19.3,157,6,26.166666666666668,19.3,8.134715025906736,0,1
Kamran Khan,26.4,224,9,24.88888888888889,17.599999999999998,8.484848484848484,0,1
Balachandra Akhil,31.2,242,6,40.333333333333336,31.2,7.756410256410256,0,0
Andrew Symonds,87.5,674,20,33.7,26.25,7.702857142857143,0,1
Aavishkar Salvi,25.0,200,7,28.571428571428573,21.428571428571427,8.0,0,0
Ishan Malhotra,1.0,23,0,0.0,0.0,23.0,0,0
Bharat Chipli,1.0,20,0,0.0,0.0,20.0,0,0
Love Ablish,7.0,75,3,25.0,14.0,10.714285714285714,0,0
Charl Langeveldt,26.0,187,13,14.384615384615385,12.0,7.1923076923076925,0,1
Abrar Kazi,2.0,21,0,0.0,0.0,10.5,0,0
Ross Taylor,2.0,24,0,0.0,0.0,12.0,0,0
Sridharan Sriram,3.0,49,0,0.0,0.0,16.333333333333332,0,0
Padmanabhan Prasanth,1.0,18,0,0.0,0.0,18.0,0,0
Gnaneswara Rao,1.0,7,0,0.0,0.0,7.0,0,0
Shrikant Mundhe,1.0,6,1,6.0,6.0,6.0,0,0
Ray Price,3.0,33,0,0.0,0.0,11.0,0,0
Chaminda Vaas,47.0,355,18,19.72222222222222,15.666666666666666,7.553191489361702,0,1
Jaskaran Singh,17.0,171,6,28.5,17.0,10.058823529411764,0,0
Amit Uniyal,6.0,66,2,33.0,18.0,11.0,0,0
Sanath Jayasuriya,49.0,390,13,30.0,22.615384615384617,7.959183673469388,0,1
Farveez Maharoof,70.0,520,27,19.25925925925926,15.555555555555555,7.428571428571429,0,1
Yusuf Abdulla,34.5,307,15,20.466666666666665,13.8,8.898550724637682,0,3
Rohan Gavaskar,1.0,8,0,0.0,0.0,8.0,0,0
Anil Kumble,160.09999999999997,1058,45,23.511111111111113,21.34666666666666,6.608369768894442,1,5
Sudeep Tyagi,34.5,295,6,49.166666666666664,34.5,8.55072463768116,0,0
Justin Kemp,7.199999999999999,54,3,18.0,14.399999999999999,7.500000000000001,0,1
Shane Bond,31.0,224,9,24.88888888888889,20.666666666666668,7.225806451612903,0,0
Adam Voges,9.0,76,0,0.0,0.0,8.444444444444445,0,0
Thilan Thushara,22.3,161,8,20.125,16.725,7.219730941704036,0,0
Kemar Roach,8.0,80,0,0.0,0.0,10.0,0,0
Paul Collingwood,14.5,101,5,20.2,17.4,6.9655172413793105,0,0
Karan Goel,11.0,93,0,0.0,0.0,8.454545454545455,0,0
Chandrasekar Ganapathy,1.0,13,0,0.0,0.0,13.0,0,0
Mohnish Parmar,3.0,33,0,0.0,0.0,11.0,0,0
Aditya Dole,11.0,112,5,22.4,13.2,10.181818181818182,0,0
Faiz Fazal,2.0,20,0,0.0,0.0,10.0,0,0
Dilhara Fernando,39.0,298,17,17.529411764705884,13.764705882352942,7.641025641025641,0,1
Vikram Singh,60.0,542,12,45.166666666666664,30.0,9.033333333333333,0,1
Andrew Flintoff,11.0,105,2,52.5,33.0,9.545454545454545,0,0
Rohan Raje,22.7,209,6,34.833333333333336,22.7,9.20704845814978,0,0
Tyron Henderson,6.0,40,1,40.0,36.0,6.666666666666667,0,0
Fidel Edwards,22.799999999999997,154,5,30.8,27.359999999999996,6.754385964912282,0,0
Ranadeb Bose,2.0,24,0,0.0,0.0,12.0,0,0
Shoaib Ahmed,17.0,152,5,30.4,20.4,8.941176470588236,0,0
Sachin Tendulkar,6.0,58,0,0.0,0.0,9.666666666666666,0,0
Wilkin Mota,12.0,97,4,24.25,18.0,8.083333333333334,0,0
Graham Napier,4.0,27,1,27.0,24.0,6.75,0,0
Shane Harwood,10.0,73,3,24.333333333333332,20.0,7.3,0,0
Dillon du Preez,7.0,56,4,14.0,10.5,8.0,0,1
Lee Carseldine,1.0,6,1,6.0,6.0,6.0,0,0
Chetanya Nanda,8.0,57,2,28.5,24.0,7.125,0,0
Sourav Sarkar,4.1,34,1,34.0,24.599999999999998,8.292682926829269,0,0
Ajinkya Rahane,1.0,5,1,5.0,6.0,5.0,0,0
Mashrafe Mortaza,4.0,58,0,0.0,0.0,14.5,0,0
Rahil Shaikh,1.0,11,0,0.0,0.0,11.0,0,0
Ashley Noffke,4.0,40,1,40.0,24.0,10.0,0,0
Sunil Joshi,9.1,82,1,82.0,54.599999999999994,9.010989010989011,0,0
Palani  Amarnath,22.0,236,7,33.714285714285715,18.857142857142858,10.727272727272727,0,0
Glenn McGrath,54.0,357,12,29.75,27.0,6.611111111111111,0,1
Brett Geeves,8.0,91,1,91.0,48.0,11.375,0,0
Dinesh Salunkhe,8.0,78,1,78.0,48.0,9.75,0,0
Mohammad Hafeez,10.0,68,2,34.0,30.0,6.8,0,0
Sanjay Bangar,25.0,219,4,54.75,37.5,8.76,0,0
Shaun Pollock,46.0,301,11,27.363636363636363,25.09090909090909,6.543478260869565,0,1
Mohammad Asif,32.0,296,8,37.0,24.0,9.25,0,0
Shahid Afridi,30.0,225,9,25.0,20.0,7.5,0,1
Vikrant Yeligati,5.0,59,0,0.0,0.0,11.8,0,0
Musavir Khote,5.0,51,2,25.5,15.0,10.2,0,0
Doddapaneni Kalyankrishna,8.0,87,2,43.5,24.0,10.875,0,0
Sohail Tanvir,41.1,266,22,12.090909090909092,11.20909090909091,6.472019464720194,1,5
Shoaib Malik,8.3,85,2,42.5,24.900000000000002,10.240963855421686,0,0
Nuwan Zoysa,11.0,99,2,49.5,33.0,9.0,0,0
Siddharth Chitnis,6.0,60,2,30.0,18.0,10.0,0,0
Umar Gul,22.3,184,12,15.333333333333334,11.15,8.251121076233183,0,2
Gagandeep Singh,14.0,141,3,47.0,28.0,10.071428571428571,0,0
Makhaya Ntini,35.0,242,7,34.57142857142857,30.0,6.914285714285715,0,1
Paidikalva Vijaykumar,25.2,199,4,49.75,37.8,7.896825396825397,0,0
Dominic Thornely,7.0,40,3,13.333333333333334,14.0,5.714285714285714,0,0
Vidyut Sivaramakrishnan,2.0,22,1,22.0,12.0,11.0,0,0
Chamara Kapugedera,2.5,49,0,0.0,0.0,19.6,0,0
Shoaib Akhtar,7.0,54,5,10.8,8.4,7.714285714285714,0,1
PM Sarvesh Kumar,5.0,42,1,42.0,30.0,8.4,0,0
Abdur Razzak,2.0,29,0,0.0,0.0,14.5,0,0
Andre Nel,3.0,31,1,31.0,18.0,10.333333333333334,0,0
Chamara Silva,1.0,21,0,0.0,0.0,21.0,0,0
